"","x"
"1","TTLL10"
"2","TTLL10-AS1"
"3","PTPN22"
"4","MAB21L3"
"5","MIB2"
"6","MMP23B"
"7","CDK11B"
"8","FAM167B"
"9","CITED4"
"10","RP5-1066H13.4"
"11","NRD1"
"12","RP4-657D16.3"
"13","ESPN"
"14","NOL9"
"15","RP11-58A11.2"
"16","RNU6-731P"
"17","SNORA77.1"
"18","RP5-1115A15.2"
"19","DNMBP"
"20","TLX1"
"21","RP11-31L23.3"
"22","TLX1NB"
"23","DPCD"
"24","POLL"
"25","RNU7-163P"
"26",""
"27","PRLHR"
"28","DHTKD1"
"29","PAOX"
"30","MTG1"
"31","RP11-108K14.8"
"32","RNU2-72P"
"33","SAR1A"
"34","CALM2P2"
"35","RNU6-535P"
"36","AMICA1"
"37","RP11-712L6.5"
"38","DCPS"
"39","CTSD"
"40","AC068580.5"
"41","AC068580.6"
"42","RP11-295K3.1"
"43","AC068580.1"
"44","ATHL1"
"45","NLRP6"
"46","RP11-326C3.2"
"47","CD82"
"48","RP11-58K22.5"
"49","RP11-58K22.4"
"50","NR1H3"
"51","MADD"
"52","RP11-17G12.3"
"53","MYBPC3"
"54","AC090559.2"
"55","AC103828.1"
"56","TNKS1BP1"
"57","TMEM132A"
"58","SLC15A3"
"59","FAM160A2"
"60","OR52W1"
"61","C11orf42"
"62","RP11-290F24.6"
"63","NAA40"
"64","MEN1"
"65","MAP4K2"
"66","RBM4B"
"67","RP11-658F2.8"
"68","ADRBK1"
"69","ANKRD13D"
"70","SSH3"
"71","PPP1CA"
"72","RAD9A"
"73","TBC1D10C"
"74","RNU6-1238P"
"75","NDUFS8"
"76","TCIRG1"
"77","AP000487.4"
"78","RNF121"
"79","IL18BP"
"80","NUMA1"
"81","LRTOMT"
"82","RELT"
"83","RP11-809N8.2"
"84","RP11-809N8.4"
"85","SERPINH1"
"86","LRRC32"
"87","RP11-672A2.3"
"88","CLEC9A"
"89","RP11-133L14.5"
"90","C12orf75"
"91","RP11-474B16.1"
"92","AC011313.1"
"93","RP11-256L11.3"
"94","P2RX4"
"95","RHOF"
"96","SETD1B"
"97","AC084018.1"
"98","DIABLO"
"99","DNAH10OS"
"100","RP11-380L11.3"
"101","GSG1"
"102","RP11-695J4.2"
"103","snoU13.179"
"104","SLC48A1"
"105","ZNF641"
"106","RP11-370I10.6"
"107","LMBR1L"
"108","BIN2"
"109","TENC1"
"110","RP11-983P16.4"
"111","TARBP2"
"112","NPFF"
"113","RP11-793H13.10"
"114","RP11-793H13.11"
"115","COPZ1"
"116","SUOX"
"117","IKZF4"
"118","NABP2"
"119","SLC39A5"
"120","GLS2"
"121","MIP"
"122","SPRYD4"
"123","MYO1A"
"124","MIR1228"
"125","ARHGAP9"
"126","MARS"
"127","OS9"
"128","AGAP2-AS1"
"129","RP11-571M6.7"
"130","RP11-571M6.8"
"131","NCAPD2"
"132","SCARNA10"
"133","MLF2"
"134","RNU7-103P"
"135","RP5-1154L15.1"
"136","RP5-1154L15.2"
"137","CD4"
"138","C12orf57"
"139","PTPN6"
"140","U47924.31"
"141","TEX30"
"142","LINC00346"
"143","PROZ"
"144","DCUN1D2"
"145","TMCO3"
"146","TFDP1"
"147","SPATA13"
"148","SPATA13-AS1"
"149","SLC25A15"
"150","LECT1"
"151","SNORD51.1"
"152","RP11-982M15.5"
"153","AKT1"
"154","ZBTB42"
"155","CEP170B"
"156","CTD-3051D23.4"
"157","PACS2"
"158","TEX22"
"159","AL928654.1"
"160","AE000662.92"
"161","AE000662.93"
"162","RBM23"
"163","PRMT5-AS1"
"164","CEBPE"
"165","BCL2L2"
"166","BCL2L2-PABPN1"
"167","PCK2"
"168","NRL"
"169","MTHFD1"
"170","CTD-2555O16.2"
"171","TMEM63C"
"172","U6.59"
"173","RNU6-181P"
"174","RNU6-322P"
"175","PRKXP1"
"176","RP11-526I2.1"
"177","RP11-526I2.5"
"178","NOP10"
"179","NUTM1"
"180","VPS18"
"181","SNORA63.4"
"182","SEMA4B"
"183","GDPGP1"
"184","CIB1"
"185","SSTR5"
"186","C1QTNF8"
"187","SSTR5-AS1"
"188","Z69666.2"
"189","AC004381.6"
"190","ERI2"
"191","RNU6-196P"
"192","RNU6-1005P"
"193","MLST8"
"194","E4F1"
"195","DNASE1L2"
"196","BRICD5"
"197","PGP"
"198","RP11-304L19.12"
"199","RP11-304L19.8"
"200","RP11-304L19.11"
"201","CCDC101"
"202","RP11-666O2.1"
"203","CORO1A"
"204","SLX1A"
"205","BOLA2B"
"206","SLX1A-SULT1A3"
"207","SULT1A3"
"208","RP11-455F5.5"
"209","SRCAP"
"210","SNORA30"
"211","ZNF668"
"212","AC135050.5"
"213","ZNF205"
"214","ZSCAN10"
"215","RP11-473M20.11"
"216","ZNF205-AS1"
"217","VASN"
"218","ANKS3"
"219","ZNF500"
"220","C16orf71"
"221","RP11-127I20.7"
"222","SIAH1"
"223","CAPN15"
"224","DUS2"
"225","RP11-67A1.2"
"226","PLA2G15"
"227","SLC7A6"
"228","RP11-96D1.7"
"229","WWP2"
"230","CLEC18A"
"231","MIR140"
"232","PHLPP2"
"233","RP11-432I5.4"
"234","RP11-432I5.8"
"235","DHODH"
"236","ATP5A1P3"
"237","KLHDC4"
"238","FLJ00104"
"239","MVD"
"240","SNAI3-AS1"
"241","PIEZO1"
"242","RNF166"
"243","CTU2"
"244","RP5-1142A6.9"
"245","MIR4722"
"246","VPS9D1"
"247","ZNF276"
"248","SERPINF2"
"249","RP11-961A15.1"
"250","SMG6"
"251","SRR"
"252","HNRNPA1P16"
"253","AC108004.3"
"254","ITGAE"
"255","CTD-3195I5.5"
"256","ATP2A3"
"257","ACLY"
"258","TTC25"
"259","TMUB2"
"260","ASB16-AS1"
"261","TBX4"
"262","SLC16A6"
"263","ARSG"
"264","WIPI1"
"265","RP11-589P10.7"
"266","MIR497HG"
"267","CDC42EP4"
"268","CYTH1"
"269","CBX2"
"270","PPP1R27"
"271","AC174470.1"
"272","GCGR"
"273","FAM195B"
"274","ARHGDIA"
"275","P4HB"
"276","RP11-498C9.3"
"277","FASN"
"278","CCDC57"
"279","SLC16A3"
"280","RP13-516M14.2"
"281","TEX19"
"282","FOXK2"
"283","snoU13.58"
"284","RP13-638C3.3"
"285","C17orf59"
"286","ATP9B"
"287","RAVER1"
"288","ICAM3"
"289","TYK2"
"290","ATG4D"
"291","MIR1238"
"292","RNU7-140P"
"293","CDKN2D"
"294","LYL1"
"295","TRMT1"
"296","NACC1"
"297","EPHX3"
"298","NR2F6"
"299","FAM129C"
"300","KIAA1683"
"301","AC008397.1"
"302","SGTA"
"303","THOP1"
"304","TLE6"
"305","S1PR4"
"306","NCLN"
"307","C19orf77"
"308","FZR1"
"309","DOHH"
"310","RN7SL866P"
"311","IGFLR1"
"312","U2AF1L4"
"313","AC002398.9"
"314","PSENEN"
"315","AD000671.6"
"316","AC002398.11"
"317","LIN37"
"318","HSPB6"
"319","C19orf55"
"320","AC002398.12"
"321","SIPA1L3"
"322","WDR87"
"323","SIRT2"
"324","NFKBIB"
"325","CCER2"
"326","ADCK4"
"327","ITPKC"
"328","ZNF575"
"329","ETHE1"
"330","CLPTM1"
"331","RELB"
"332","CCDC106"
"333","U2AF2"
"334","ZSCAN18"
"335","ZNF132"
"336","CTD-2619J13.19"
"337","CD320"
"338","MAP4K4"
"339","NCK2"
"340","AC009505.2"
"341","PAX8-AS1"
"342","PAX8"
"343","RP11-65I12.1"
"344","ROCK2"
"345","STEAP3"
"346","AC012363.4"
"347","GPD2"
"348","DLX2"
"349","AC104801.1"
"350","OSR1"
"351","AC098820.4"
"352","STK16"
"353","GLB1L"
"354","AC012507.3"
"355","ATG4B"
"356","THAP4"
"357","DTNB"
"358","AC097724.3"
"359","AC007401.2"
"360","CALM2"
"361","RP11-761B3.1"
"362","SNORA74.9"
"363","LBX2"
"364","LBX2-AS1"
"365","AC005041.17"
"366","RP11-523H20.3"
"367","TLX2"
"368","LOXL3"
"369","CAPG"
"370","SH2D6"
"371","NSFL1C"
"372","C20orf26"
"373","CRNKL1"
"374","VSX1"
"375","AP5S1"
"376","TBC1D20"
"377","Y_RNA.467"
"378","SYS1"
"379","SYS1-DBNDD2"
"380","TNNC2"
"381","SNX21"
"382","NPEPL1"
"383","CTSZ"
"384","C20orf197"
"385","CABLES2"
"386","SLC17A9"
"387","EEF1A2"
"388","RP4-697K14.3"
"389","HELZ2"
"390","RTEL1-TNFRSF6B"
"391","GMEB2"
"392","STMN3"
"393","CTD-3184A7.4"
"394","RTEL1"
"395","RP4-583P15.11"
"396","U3.32"
"397","SIM2"
"398","AP000697.6"
"399","RIPPLY3"
"400","SLC19A1"
"401","USP41"
"402","ZNF74"
"403","GGT1"
"404","FAM211B"
"405","AP000356.2"
"406","TPST2"
"407","HMGB1P10"
"408","MIR548J"
"409","INPP5J"
"410","SELM"
"411","CARD10"
