NAME	CD8	CD4	Fibroblast	Macrophage	B	Malignant	Mast	Dendritic	Myocyte	Endothelial
A2M	1	1	2841.83788400588	787.675214183375	1	1	1	1	271.215711349357	2317.17929588729
AAAS	1	1	1	1	1	64.0249699512971	1	1	181.449020809831	1
AAED1	1	1	1	38.1353295719543	1	1	1	1	1	1
AAGAB	1	1	1	1	1	53.3419317717519	1	49.334696016752	30.777129824638	1
AAMDC	1	1	86.4512239055861	1	1	1	1	153.23258957874	1	57.7253473550453
AAR2	1	1	1	1	71.4012504956201	45.4130531910847	78.7404055574335	1	9.18182963854255	1
AARS	1	1	1	1	120.501613130353	71.7837494538331	87.8743109451327	1	24.9750511055128	1
AARSD1	1	1	1	1	1	78.4444598089565	1	1	77.2048780145178	1
AASDHPPT	1	1	1	1	1	25.0926850207289	1	37.2018591495926	110.770430144489	86.6451765437993
AATF	1	1	117.595451925846	59.0709539935351	55.7913397344068	118.936855961399	1	176.107448999892	77.8107164156058	1
ABCA1	1	1	24.4798828528576	42.7218845060958	1	19.6271181521857	76.7011479781903	1	1	1
ABCA8	1	1	81.4008241984718	1	1	1	1	1	1	1
ABCB8	1	1	1	10.2824016380595	1	1	40.4180213915662	1	1	1
ABCC1	1	1	1	1	1	1	36.3199251377034	1	1	1
ABCC4	1	1	1	72.4555248544171	1	1	112.034848391669	4.32721068344572	1	1
ABCC5	1	1	1	68.5352754335139	1	60.5087720596258	1	1	195.335796312047	1
ABCD3	1	1	1	1	1	1	98.2729705565697	1	1	29.7423918534397
ABCD4	1	1	1	19.4164734157809	1	21.5691712874108	139.471765679992	1	1	213.982442508643
ABCE1	1	1	1	1	1	49.0093877664937	1	1	75.5186275937521	67.5491843543833
ABCF2	1	1	1	1	1	52.9179354855025	1	1	61.6945109172894	179.125163182414
ABCG1	1	1	1	169.713635270622	1	1	1	151.384936039961	1	80.1645332409482
ABCG2	1	1	1	1	1	1	1	1	1	63.2550135995094
ABHD12	1	1	1	259.669093845402	1	46.3846502147761	1	50.0050546400316	1	132.597139658191
ABHD14A	1	1	1	76.3586017370322	76.6151684769296	1	120.725343174249	1	1	1
ABHD14B	1	1	61.0911786365728	1	1	1	1	1	1	1
ABHD2	1	1	36.5842981197701	1	1	1	91.467703020455	1	1	1
ABHD3	1	125.958810608903	1	48.6941390540118	45.6022732010555	43.1631402161912	1	59.9591989592909	1	1
ABHD4	1	1	66.8906737872009	57.7237899601808	148.888487946875	1	1	1	1	52.6775695689859
ABI3	163.271338595127	1	1	125.174608902188	1	1	1	1	1	110.313236426218
ABI3BP	1	1	128.828372534032	1	1	1	1	1	1	1
ABLIM1	131.755559930678	156.181188016635	1	1	1	33.9304685633047	1	1	1	206.960407665
ABLIM2	1	1	1	1	1	1	1	1	219.290750592773	89.1710536347942
ABP1	1	1	1	1	1	1	1	330.769376251037	1	1
ABRACL	238.149658413619	236.172105975762	1	86.4764076239488	1	133.587976994142	218.935105315778	1	1	99.848144368947
ABT1	1	1	1	1	1	75.8671246940235	1	1	1	93.2248432278073
ACAA2	1	1	78.1581050773264	24.9533083563444	1	49.4183258434047	1	235.834345332124	133.335898443811	28.9113297138528
ACAD8	1	1	1	1	90.1416566258622	1	1	1	1	61.7228680697402
ACAD9	1	1	1	1	1	67.0724209220537	1	1	135.550184411148	1
ACAP1	199.704724087641	264.565251233407	1	1	59.715324251371	1	1	1	1	1
ACAT2	1	1	1	36.6409209605478	1	66.2959133871389	144.477847691232	1	1	1
ACBD4	1	1	1	26.6160166011825	1	1	1	1	1	1
ACBD5	1	1	1	62.4372680358806	1	1	91.918851105014	1	40.8471057974127	1
ACCS	1	1	1	1	1	1	1	1	1	67.123232524025
ACD	1	1	1	1	1	31.6015193514296	1	1	1	91.7098245025828
ACE	1	1	1	121.901753562706	1	1	1	1	1	60.5814732372916
ACER3	1	1	1	1	1	1	34.2529306233407	1	1	1
ACHE	1	1	1	1	1	1	1	188.89693040652	119.940224806119	1
ACOT13	1	1	1	1	1	1	1	51.0132461998597	53.4207313993985	25.3162088209569
ACOT7	1	1	1	228.482861726315	1	166.076541811539	214.820127071306	80.7509435136594	1	83.716555170892
ACP2	1	1	1	115.274234465151	141.24150748617	44.5694367016843	1	1	1	114.827697556584
ACP5	1	226.605444169923	1	384.042499417379	1	76.3014967596281	102.002094944133	1	1	1
ACSL1	1	1	1	1252.15528138423	1	68.4317504209779	1	25.0903396585316	220.73556963732	1
ACSL4	1	1	1	1	1	1	406.838860709167	41.1917916669491	1	1
ACSL5	186.026281926428	1	1	26.4065660469881	1	1	1	1	1	89.8660974593731
ACTA1	1	1	1	1	1	1	1	1	7645.45806931586	1
ACTA2	1	1	7940.41617870918	1	1	1	1	1	1	1
ACTC1	1	1	1	1	1	1	1	1	1996.62364923379	1
ACTG2	1	1	796.985099806889	1	1	1	1	1	1	1
ACTL6A	1	1	1	1	1	214.050446371672	1	1.26176203169895	1	106.094184701985
ACTN1	1	1	620.50667635289	187.177407621316	1	392.024333513368	1	516.082274998568	1	568.676916573056
ACTN2	1	1	1	1	1	1	1	1	831.467491445857	1
ACTR2	195.927209716998	124.347948313087	1	26.3129303802713	1	45.9972654686326	57.6311421713995	44.0766383508796	1	33.6991168968561
ACVRL1	1	1	1	1	1	1	1	1	1	76.8363240193198
ADA	171.449451617173	163.921303811868	1	1	211.19658069932	75.8480367191987	1	1	1	339.267207070708
ADAM10	1	1	1	97.6800357677601	1	68.8308215486144	1	1	1	89.83452503826
ADAM12	1	1	1	1	1	1	34.157095784547	1	1	1
