"ID","Name","Gene_name","logical"
92919,"DNMBP-AS1","",FALSE
92919,"DNMBP","DNMBP",TRUE
92933,"DNMBP","DNMBP",TRUE
115773,"CD82","CD82",TRUE
116464,"MYBPC3","MYBPC3",TRUE
119411,"TNKS1BP1","TNKS1BP1",TRUE
143533,"LAG3","",FALSE
143533,"MLF2","MLF2",TRUE
143533,"PTMS","",FALSE
143536,"CD4","CD4",TRUE
143543,"CD4","CD4",TRUE
143543,"GPR162","",FALSE
143543,"LEPREL2","",FALSE
143560,"ATN1","",FALSE
143560,"C12orf57","C12orf57",TRUE
143560,"RNU7-1","",FALSE
143561,"C12orf57","C12orf57",TRUE
143561,"PTPN6","PTPN6",TRUE
143561,"U47924.31","",FALSE
143562,"EMG1","",FALSE
143562,"MIR141","",FALSE
143562,"MIR200C","",FALSE
143562,"PHB2","",FALSE
143562,"PTPN6","PTPN6",TRUE
143562,"SCARNA12","",FALSE
143562,"U47924.27","",FALSE
143562,"U47924.29","",FALSE
156215,"RP11-370I10.6","",FALSE
156215,"ZNF641","ZNF641",TRUE
156421,"LMBR1L","LMBR1L",TRUE
157614,"COPZ1","COPZ1",TRUE
157614,"NFE2","",FALSE
158201,"GLS2","GLS2",TRUE
158201,"MIP","MIP",TRUE
158201,"SPRYD4","",FALSE
158202,"GLS2","GLS2",TRUE
182354,"MIR2276","",FALSE
182354,"SPATA13","SPATA13",TRUE
182382,"SPATA13-AS1","",FALSE
182382,"SPATA13","SPATA13",TRUE
209993,"DCUN1D2","DCUN1D2",TRUE
209993,"TMCO3","TMCO3",TRUE
211340,"PRMT5-AS1","",FALSE
211340,"RBM23","RBM23",TRUE
211421,"BCL2L2","BCL2L2",TRUE
211421,"HOMEZ","",FALSE
211421,"PPP1R3E","",FALSE
211421,"RP11-124D2.7","",FALSE
211422,"BCL2L2","BCL2L2",TRUE
211422,"BCL2L2-PABPN1","",FALSE
266023,"AC135050.5","",FALSE
266023,"ZNF668","ZNF668",TRUE
266025,"ZNF668","ZNF668",TRUE
287563,"ACLY","ACLY",TRUE
287563,"TTC25","",FALSE
294286,"ARSG","ARSG",TRUE
294286,"SLC16A6","SLC16A6",TRUE
294321,"MIR635","",FALSE
294321,"WIPI1","WIPI1",TRUE
294328,"WIPI1","WIPI1",TRUE
296888,"CYTH1","CYTH1",TRUE
297071,"CBX2","CBX2",TRUE
297421,"AC174470.1","",FALSE
297421,"FAM195B","",FALSE
297421,"GCGR","GCGR",TRUE
297421,"PPP1R27","PPP1R27",TRUE
297423,"ARHGDIA","ARHGDIA",TRUE
297423,"P4HB","P4HB",TRUE
297423,"RP11-498C9.3","",FALSE
297424,"ARHGDIA","ARHGDIA",TRUE
297424,"RP11-498C9.15","",FALSE
297424,"RP11-498C9.16","",FALSE
297445,"CCDC57","",FALSE
297445,"FASN","FASN",TRUE
297460,"CCDC57","",FALSE
297460,"RP13-516M14.2","",FALSE
297460,"SLC16A3","SLC16A3",TRUE
297504,"FOXK2","FOXK2",TRUE
297525,"FOXK2","FOXK2",TRUE
297525,"RP13-638C3.3","",FALSE
297525,"snoU13","",FALSE
321912,"CTD-2369P2.10","",FALSE
321912,"CTD-2369P2.12","",FALSE
321912,"FDX1L","",FALSE
321912,"RAVER1","RAVER1",TRUE
321912,"ZGLP1","",FALSE
321913,"ICAM3","ICAM3",TRUE
321913,"RAVER1","RAVER1",TRUE
321919,"TYK2","TYK2",TRUE
321934,"ATG4D","ATG4D",TRUE
321935,"ATG4D","ATG4D",TRUE
321935,"MIR1238","",FALSE
321935,"RNU7-140P","",FALSE
321938,"CDKN2D","CDKN2D",TRUE
327704,"AC002398.11","",FALSE
327704,"AC002398.9","",FALSE
327704,"AD000671.6","",FALSE
327704,"IGFLR1","IGFLR1",TRUE
