Gene	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
COL10A1	0	7.7592107584492	0	0	0	0	0	0	0	0
COL11A1	0	3.52439057069233	0	0	0	0	0	0	0	0
COL4A1	0	102.981563711942	0	0	1.25878417639273	0	0	0	0.711187355119894	0
COL4A3BP	0	17.2518700745336	0	0	0	0	0	0.392556593117525	0	0.992504605221368
CST1	0	5.30242765018121	0	0	0	0	0	0	0	0
CUBN	4.08119306877377	0.249944578329611	9.29218055214409	2.27988299640462	0.188824889839559	0.150706390995876	0.233481095736122	0.15702263724701	1.82315154190675	0.496252302610684
CWH43	0	0.237136434056908	0	0	0	0	0	0	0	0
CXCL11	0	3.38033524862385	0	0	0.19205359063393	0	0	0	0	0
DCDC2	0	1.07282698198	0	0	0.755299559358237	0.684941201464677	0	0	0	0
DCN	0	167.125575809366	0	0	0	0	0	0	0	0
DDC	0	0.492033326596061	0	0	0	0	0	0	0	0
DLL4	0	7.57023332592988	0	0	0	0	0	0	0	0
DLX5	0	1.5155863576652	0	0	0	0	0	0	0	0
DNAH5	0	0.948916375948266	0	0	0	0	0	0	0	0
DNAJC22	0	3.94649805835635	0	0	0	0	0	0	0	0
DYRK1A	0	27.3892976087731	0	0	0	0	0	0	0	0
ECE2	0	11.2312932327233	0	0	0	0	0	0	0	0
EGFR	0	21.4014534786625	0	0	0	0	0	0	0	0
ESRP1	0	53.9767131238531	0	0.786932513454579	0	0	0	0	0	0
ESRRG	0	0.667001317661103	0	0	0	0	0	0	0	0
FAM189A2	0	3.35981274600612	0	0	0.377649779679119	0	0	0	0	0
FCGBP	1.65477408114119	2.42411744388356	2.87832816865973	1.7705981552728	0	0	0	0	0	6.24855181096948
FGFR3	0	14.0677403781058	0	0	0	0.484909577762046	0	0	0	0
FLRT3	0	4.62052019227109	0	0	0	0	0	0	0	0
FOLH1	0	3.0671894889819	0	0	0	0	0	0	0	0
FOXA1	0	15.5940857996825	0	0	0	0	0	0	0	0
FUT3	1.54936589618422	4.39564816377881	0	0	0	0	0	0	0	0
GABRP	0	1.14208875437339	0	0	0	0	0	0	0	0
GAN	0	1.73603206935365	0	0	0	0.954473809640547	0	0	0	0
GGT6	0	5.5324768299411	0	0	0	0	0	0	0	0
GPR39	0	3.6220278750803	0	0	0.19205359063393	0.150706390995876	0.147528136566206	0	0	0
GPR87	0	0.74429168972797	0	0	0	0	0	0	0.751286739993224	0
GPRIN2	0	2.15117581444478	0	0	0	0	0	0	0	0
GRHL2	0	16.9898965531238	0	0	0	0	0	0	0	0
GSS	0	59.8142743582691	0	0	0	0.711146303159523	0	0	0	0.455706678016801
HDAC8	0	18.0111315001359	0.84113090454724	0	1.03346317191324	0	0.943931714721181	0	0	0
HECW2	0	1.78917660085701	0	0	0	0	0	0	0	0
HES2	0	1.76499165199231	0	0	1.70911011093915	0.618032558836569	1.91786577536068	0	0	0
HIST1H4H	445.756976289402	7.71982878208575	588.460547950355	1393.95089382891	1070.51902497523	667.868522641274	406.724068772324	635.814264974328	129.339174905574	2041.67337325777
HNF1A	0	0.650519574116633	0	0	0	0	0	0	0	0
HNF4G	0	1.23154753725128	0	0	0	0	0	0	0	0
IBSP	0	0.411483160019773	0	0	0	0.355573151579761	0	0	0	0
ISLR	0	42.7051672329299	0	0	0	0	0	0	0	0
ITGB6	0	14.7657714236388	0	0	0	0	0	0	0	0
KDM5B	1.33319645849693	27.0400801544953	1.71755346683862	0.590199385090934	0.527710001990261	0	0.33521315282552	1.77980279785	4.43113563020344	2.85587694188246
KDR	0	8.42226856459718	0	0	0.38087848047349	0.050235463665292	0.349023043781102	0	0	0
KLHDC7A	0	1.06737542880406	0	0	0	0	0	0	0	0
KRT17	0	46.2926433245938	0	0	0	0	0	0	0	0
KRT19	0	576.934055694966	0	0	0	0	0	0	0	0
LPL	0	4.26051398759637	0	0	105.274636356922	67.7089885579075	113.121590884151	0	0	0
LRRC15	0	1.33470539317963	0	0	0	0	0	0	0	0
LRRC8E	0	6.63518556390477	0	0	0.38087848047349	0	0	0	0	0
MED13L	29.9544073262283	18.864976127494	21.8615037263542	7.97959048741619	6.86673986812223	3.63047826786749	2.90852536484251	28.8321987967571	59.6138296750631	10.5120944114962
MISP	0	10.6149063573066	0	0	0	0	0	0	0	0
MMP1	0	6.51076478590196	0	0	0.695538207668426	18.8190725162033	0	0	0	0
MMP10	0	1.40087374983861	0	0	0	0.38534888139	0	0	0	0
MMP13	0	0.698377541371357	0	0	0	0	0	0	0	0
MSX2	0	1.97065321193937	0	0	0	0	0	0	0	0
NKRF	0	8.86533084830332	2.62158676750989	0	0	0.192674440695	0.50281972923828	0.672341226619334	0	0
NME5	0	2.30080738779536	0	0	0	0	0.147528136566206	0	0	0
NR2F2	0	33.8109472737491	0	0	0	0	0	0	0	0
NTS	0	0.256191667595628	0	0	0	0	0	0	0	0
OR51E1	0	0.619962521098152	0	0	0	0	0	0	0	0
OVOL2	0	10.1874679714658	0	0	0	0	0	0	0	0
PARVA	0	43.6175044463137	0	0	0	0	0	0	0	0
PCDHA12	0	0.132607392292206	0	0	0	0	0	0	0	0
PCDHB2	0	1.90824447897771	0.340508403033763	0	0	0	0	0	0	0
PCDHB5	0	1.02851015946393	0.269440917380726	0	0	0	0	0	0	0
PCDHGB1	0.344303532485383	0.858679836118084	0.182743789106574	0.821420679922754	0	0.050235463665292	0	0	0	0
PDE10A	0	1.04174868156508	0	0	0	0	0	0	0	0
PEG3	0	0.682091483473945	0	0	0	0	0	0	0	0
PHGDH	0	45.4898244079252	1.12288517518105	0	8.6555025993937	0.246588495864107	0	0	0	0
PIK3C2G	0	0.0750124513682817	0	0	0	0	0	0	0	0
PROS1	0	15.8817985612713	0	0	0.167828205678165	0.455133847951808	0.233481095736122	0	0	0
PTHLH	0	4.01735987662593	0	0	0	0	0	0	0	0
RBBP8NL	0	2.59578583469539	0	0	0	0	0	0	0	0
RERG	0	6.03769042978972	0	0	0	0	0	0	0	0
RNF128	0	8.39840906112306	0	0	100.849275097709	97.2781648838034	4.20265972325019	0	0	0
S100A2	0	27.4497750863197	0	0	0	0	0	0	0	0.496252302610684
SEMA3E	0	0.470465639713474	0	0	0	0	0	0	0	0
SGCE	4.30241261096708	19.2875174890625	0	1.64284135984551	0	0	0	0	0	0
SLC18A2	0	5.03102455586956	0.202689158136662	0	0	0	0	0	0.315381473796303	0
SLC19A3	0	0.703319449954257	0	0	0	0	0	0	0	0
SLC1A2	0	0.226759726187791	0	0	0	0.325797421769523	0	0	0	0.496252302610684
SLC29A3	0	9.18899400120802	0	0	5.17746330397487	5.26514517983446	2.17888549336588	0	0	0
SLC44A4	0	18.2031862837264	0	0	0.19205359063393	0	0.629287809814121	0	0	0
SLC51B	0	0.277370589630988	0	0	1.03992057350198	0.78541212879526	13.7437392658463	0	0	0
SLC6A14	0	0.953448924917089	0	0	0	0	0	0	0	0
SLCO2A1	0	14.7142774452508	0	0	0	0	0	0	0	0
SMARCE1	15.6445734302995	132.124624651188	13.972910824636	16.3288496541825	3.92318405069497	3.39917907360113	3.18452495184244	2.43385087732866	2.4636816144009	7.69676309420765
SOD3	0	26.1127921248405	0	0	0	0	0	0	0	0
SOSTDC1	0	0.707497180797072	0	0	0	0	0	0	0	0
SOX9	0	22.8847070967394	0	0	0	0	0	0	0	0
SRP72	51.6455298728074	71.2166505518101	48.9725943395464	33.6782478768329	12.6600895456841	17.5498585437566	19.3126084225543	15.1222423260921	6.33449775341126	6.62316723979851
STRA6	0	4.45202679196874	0	0	0	0	0	0	0	0
SULF1	0	48.5044099953816	0	0	0	0	0	0	0	0
TBCE	0	25.1323713527883	0	0	0	0	0	0	0	0
TFAP2A	0	16.6558708749792	0	0	0	0	0	0	0	0
TFPI2	0	2.93165297940154	0	0	0	0.488696132654285	0	0	0	0
TLL1	0	0.560694825989662	0	0	0	0	0	0	0	0
TMPRSS2	0	11.8085766207468	0	0	0	0	0	0	0	0
TOX3	0	3.54683386782674	0	0	0	0	0	0	0	0
TPP1	0	102.254936421022	0	1.13994149820231	0	0.753531954979379	0	0	0	1.3671200340504
TSEN15	10.4297156201996	29.8065642779401	20.7085236797268	39.5433588010926	16.6631030909524	8.23330246838376	6.29287809814121	4.31812252429278	0.32702239120414	20.6090277695695
TSPAN1	0	78.1275355091378	0	0	0	0	0	0	0	0
UBD	0	36.3672880308864	0	0	0	1.23606511767314	0	0.313393465182143	0	0
UGT1A6	0	1.86022863491414	0	0	0	0	0	0	0	0
VTCN1	0	1.40156268904098	0	0	0	0	0	0	0	0
WFDC2	0	132.202109637322	0.162348916069344	0	0	0	0	0	0	0
WNT7B	0	5.00648061874773	0	0	0	0	0	0	0	0
XG	0	0.951019721955108	0	0	0	0	0	0	0	0
A2M	0	240.945532191231	0.496216916987169	13.6792979784277	1005.11425703348	653.891812905231	1090.44838614142	0.633281140412678	0	5.63066263457714
ABCA1	11.9987681264723	8.01220216656343	1.85745071756195	1.13994149820231	16.5193302496813	23.1021406698704	0.314643904907061	17.4152313613486	32.5416359288382	0.455706678016801
ABCA3	0.906931793060838	12.6032529920668	5.35455038688815	5.74994475945928	2.65969196172569	1.65483793273514	0.814387102155904	0.672341226619334	0	6.16746056178171
ABCB1	15.2239215464989	2.88183169585822	6.33054222947164	42.7138753559832	0.671312822712661	0.146117568533523	0	0.078511318623505	0	36.0528043900628
ABCB4	89.1923229735099	0.936356547030106	0	0	9.21013569858964	8.44442844848356	7.22887869174409	0.336170613309667	0	0.951958980627485
ABCC6	0	4.15643124594897	0	0	11.506927006365	6.24253744514303	4.86842850668479	16.8024914734357	2.21002716330847	0
ABHD14B	17.3751278519824	71.9328626004254	24.2355106764791	33.6413649501832	19.2885928198984	8.84553299785023	19.3789309460981	11.39073790624	0	14.8567282612107
ABLIM1	58.4971006524241	37.6024093997894	191.084618569827	68.3964898921388	0.19205359063393	0.552590100318212	0.737640682831029	0.672341226619334	1.0193630630155	64.5710281842935
ABLIM3	0	7.68710396328743	0	0	2.76923802749622	0.100470927330584	2.91851369670152	0	0	0
ACE	0	13.3085836039656	1.87293016634472	7.97959048741619	2.85497425315399	1.25442040752255	1.34085261130208	0.626786930364285	0	0.455706678016801
ACOX2	0	10.1733745770948	0	0	48.2950873716759	18.5262386272142	74.947431731295	2.80041524557261	0	0
ACPP	0	3.10078994808402	0	0	1.41530180029262	3.26492993479122	1.77033763879447	8.25166877866241	16.8804040849925	0
ACSL1	0.906931793060838	58.2465633651519	0	0	16.1332307673302	39.0068263906183	14.5925684835076	5.49579230364535	43.8308704191435	0
ACSL6	0	0.465609432698684	109.943147256315	88.9154368597804	0	0	0	0	0	0.496252302610684
ACSS3	0	2.89780477123636	0	0	0	0	0.314643904907061	0	4.73605559763396	0
ACVR1B	0.22673294826521	22.9994329488033	1.5332440565759	1.64284135984551	1.76226879342723	2.42482713990048	1.05066493081255	4.07411504736786	0	2.48126151305342
ACVR1C	0	0.31951611881658	1.53533801056602	1.13994149820231	0	0	0	0	0	0
ACVRL1	0	13.7649819328208	0	0	1.71355888470299	1.52830025474019	1.00563945847656	0	0	0
ACY1	2.19045814527337	54.4660102513505	2.19941203067642	1.13994149820231	2.32711898355074	1.70653958051018	1.17324603488932	0.336170613309667	0	1.90391796125497
ADAM19	55.4328687301466	6.31543067380261	1.36311715744493	4.10710339961377	0	0	0	5.6995302637141	22.9110791764826	0
ADAM28	288.009904924023	5.93817365094019	0.167204004602792	0	10.404338312018	11.2056632967015	2.21807040949315	6.38724165288367	5.43300266874363	5.29659283034199
ADAMDEC1	0.330954816228237	2.86045417690538	0	0	73.8727214641191	158.756426076974	0.50281972923828	2.21648399144437	0	0
ADAMTS1	0	16.6953801658064	0	0.821420679922754	0	0	0	0	0	8.19301539681833
ADAMTS15	0.172151766242691	1.88112294593187	0	0	2.11892188894495	0.343380831690876	45.1403136623558	0	0	0
ADAMTS4	0	6.30807655397131	2.21000690891598	1.13994149820231	0	0	0	0	0	0
ADAMTSL2	0	4.19438061057226	1.45340102728764	0	0	0	0	0	0	0
ADCY1	0	1.11172004193516	0	0	5.1660747423499	1.91630953328704	99.7421178555382	0	0	0
ADCY6	0	22.6201139891802	0	0	0.887591798302357	0.146117568533523	1.84367234054036	0.316640570206339	0	0.455706678016801
ADIRF	0	113.019512287311	0.730076148412014	3.41982449460694	3.91452695648577	3.12658684276381	2.5140986461914	0	0	0
ADM	0	35.2835521695811	0.172235737735353	0	18.5289907508551	91.5469342730265	23.6325272741992	149.26213258902	463.005916876956	0
ADM2	0.22673294826521	4.64332082772437	1.24086233548032	0.786932513454579	14.0820913370711	0.050235463665292	0.33521315282552	0	0.700061781932022	0.496252302610684
ADPRH	2.19045814527337	6.0373276496267	0	0	1.21007426766849	0.43835270560057	0.629287809814121	3.39774596768452	0	0.911413356033602
ADRA2C	0	1.93951576699287	0	0	0.167828205678165	0	0	0	0	0
ADTRP	0	1.83314809928591	27.7227715480013	0	1.80426216175002	1.64740317398114	2.79218435024881	0.404493567581491	0	0
AEBP1	24.0950395980071	146.018524588765	13.38082110846	1.7705981552728	0	0	0	0.313393465182143	0	4.75979490313743
AFAP1L1	0.165477408114119	5.26400136331162	0.256750615559601	0	112.693159952003	34.1686008810881	271.537689934793	0	0	0
AFAP1L2	2.92658002612575	9.85074673191695	2.36712936227233	7.67259200618214	0.356653095517725	0	0.116341014593701	0	0	4.67870365394966
AFF3	277.680798949461	1.00978150169325	16.207293832262	0.821420679922754	0.167828205678165	0	2.09413826268661	3.6405398192444	0	0.496252302610684
AGAP1	0	11.1097454562504	0.427160602249249	7.08239262109121	0.43720892815608	0.355573151579761	0.233481095736122	0	0	4.80034052773131
AGMAT	6.12178960316066	1.9358850321195	39.3087540397052	15.3451840123643	0.167828205678165	2.29245038211028	0.590112546264824	0	0	1.94446358584885
AHNAK	21.6775404629495	109.33903145422	6.06195356646018	206.998011340534	105.412393489427	57.3763411176935	19.6212421633054	57.9777910586964	0	171.312070888353
AHNAK2	0	22.4222180717191	0	0	7.1120652261931	2.03275205537114	0.50281972923828	0	0	0
AIDA	0.827387040570593	52.7310446488002	0	0	0	0	0.232682029187401	0	0	0.951958980627485
AIF1	0.992864448684711	44.3588430037575	194.88784874593	45.1781373957514	15.5718187812432	37.2260280942593	6.39875580265353	134.699973312043	83.8459530623359	0.496252302610684
AKAP12	0	7.09403313432576	0.0866521992154856	0	0	0.050235463665292	0.16760657641276	0	0	0
AKAP2	242.045625052708	17.1669376690487	17.1661654918259	22.7988299640462	30.9449987679077	36.5093749687122	52.7024796109463	1.29437941626077	0	38.1691552817713
AKAP6	47.3417357167401	1.09664420802179	6.31267174101377	1.57386502690916	5.11897817460352	0.586290736051168	0	0	0	0
AKR1B1	24.1012472739768	72.0184220215775	43.4292549936798	22.9997790378371	8.00490549153203	21.7723444151858	8.54793539705076	7.53708658785648	0	17.6315139539054
ALCAM	16.8708730917837	39.4962691658479	2.90343404115669	4.92852407953652	31.4903105587537	52.1758070290189	27.4564794441133	5.71490042626434	13.7153497213678	0
ALDH1A1	0	49.1093856109673	0	0	4.90134578309954	1.92611342708171	1.39609217512441	0.626786930364285	0	0
ALDH1A3	0	12.3210760800358	0	0	0	0	0	0	0	0
ALDH2	9.29605087887359	121.848501508176	1.96661998205365	0.196733128363645	201.046066718849	134.12304927357	25.811412767565	501.9043889937	13.412507814578	0
ALDH3B1	0	10.4993547288108	0	0	5.13701643520055	2.73563349359379	3.24561900445653	5.64108237327857	2.05067914595405	0
ALDH4A1	0.661909632456474	19.5321906732585	0	0.786932513454579	2.74838661094781	2.17364982157402	2.17888549336588	1.008511839929	0	0
ALDH6A1	0.906931793060838	13.0632536065422	0.779856511656786	1.13994149820231	0.21860446407804	0.442941528062922	1.5732195245353	0	0	2.40017026386565
ALDH8A1	2.04059653438689	0.497511711568243	3.13839306957362	4.10710339961377	0	0.840344378311328	0.314643904907061	0.672341226619334	0.398724938064264	2.31907901467789
ALOX15B	0	2.47253906173024	0	0	2.72052811877198	1.35489133485313	2.80303459475791	0.672341226619334	0	0
ALOX5	286.976994326566	19.1242103962582	1.46560676179393	2.36079754036374	0.902131080875008	1.14029097619333	0.233481095736122	162.282819313694	416.44521410453	0.992504605221368
ALPK2	0.172151766242691	0.458851721888452	0.344471475470705	3.93466256727289	0.167828205678165	0.050235463665292	0.116740547868061	3.36049829468714	0	0
ALPL	0.496432224342356	9.09172889956215	0	0	0	0.840344378311328	0	0	66.9704752016953	0
AMN	2.72079537918251	3.5250606558277	4.33415598329819	2.55753066872738	0.356653095517725	0.484909577762046	0	0.313393465182143	0.142449711915099	0.911413356033602
AMOT	1.33319645849693	6.04107070862656	1.85905941281542	4.10710339961377	0	0	0	0	0	4.71924927854354
AMOTL1	0.992864448684711	11.8988991290949	0.459439773696263	0	3.54416971668426	2.29633762036333	31.7534290201125	4.62748727441	0	10.3499119131207
AMPD3	10.6655716679754	7.99330825712881	4.19064821992449	5.74994475945928	18.3055208420054	33.3520643221959	0.465364058374802	16.2424084243212	24.1645869164978	1.44821128323817
ANGPT1	0	1.63276971068869	0	0	0	0	0	1.89984342123803	11.1121885798354	0
ANK2	4.30792601703898	2.58879371617297	0	0	6.93290618074069	3.31752567731571	1.86784876588897	0	0	0
ANK3	14.2841757407082	16.6159492932333	137.253444883976	5.69970749101156	0.947353149992167	0	0.350221643604182	0.336170613309667	0	5.95502763132821
ANKRD1	0	0.258664003114435	0	0	0	2.21099138114113	0	0	0	0
ANKRD22	0	6.46809352890229	0.594364606852041	0	0.167828205678165	17.6263077176507	0	5.6995302637141	15.7048451994229	0.496252302610684
ANKRD29	0	5.93288336811054	1.91888544577316	0	3.40676437248703	0.874045014044284	0	0	0	0
ANPEP	4.08119306877377	17.1595410758261	0.424110405335159	0	386.092176032713	553.715816241166	162.152620988736	471.647370473463	1060.69021254849	0.496252302610684
ANXA2	19.6918115655801	1135.78471217138	2.91587558239815	18.0712549583006	158.413668576141	112.254772136125	84.9538543249063	119.340567724932	0	7.53458059583211
ANXA3	0.22673294826521	43.05223670252	0	0	1.78326547758862	0.689530023927029	0	0.313393465182143	157.06567703075	0
AOX1	0	2.3992537310073	0	0	0	3.58704148502932	2.65550645819171	0	0	0
AP1S3	14.6651610434662	6.4226889056912	0.442989186686363	1.13994149820231	0.21860446407804	0.484909577762046	0.295056273132412	0	0.171976380076055	0
APBB1	9.46834714334802	15.802374039846	15.3028127493871	6.68892636436392	0.734302875196843	0	0	0.313393465182143	0	5.71175388376491
APBB2	1.37721412994153	15.303869969009	0	0	9.86059710475389	3.40081399638342	3.1464390490706	0.280041524557261	0	0
APOA1	0.165477408114119	0.264656023666997	0.357555425035179	0.821420679922754	0	0	0	0	0	0.951958980627485
APOC1	0	207.911977929865	0	0	5969.98717946831	2936.11542259551	4977.6665756297	0.336170613309667	0	0
APOC2	0	11.5896159677919	0	0	655.421808197028	324.587478603335	213.328567526987	0	0	1.44821128323817
APOC4	0	0.109654485516727	0	0	1.02796591823039	1.54364086962542	3.50221643604182	0	0	0
APOE	1.65477408114119	278.126614267413	1.4323849245452	1.13994149820231	24.2127068168841	30.9474601894969	12.3923634715613	1.26656228082536	0	0
AQP3	0	51.3894376137808	24.7183222911885	9.85704815907304	0	0.146117568533523	2.01127891695312	0	0	0
AQP8	0	0.0577588134901713	0	0	0	0	2.34649206977864	0	0	0
ARG1	0	0.150894780512399	0.361301176714788	0	0.167828205678165	0	0	0	38.6993715536801	0
ARHGAP24	316.065729881702	6.07502251955837	0	0	46.6525225567368	36.6919012471789	11.5177604447764	75.9937368495213	23.1924241934925	0.496252302610684
ARHGAP42	8.43543654589187	3.25020707201917	0	0	0	0	0	0	0	2.40017026386565
ARHGAP8	1.33319645849693	20.5734677324717	0.968474221870027	5.31179446581841	0.21860446407804	0	0	0	0	6.2080061863756
ARHGEF10L	0.165477408114119	23.8449186879352	0	0	11.445290816132	28.0176525781572	0.817183835076425	36.9804288914928	0	0
ARHGEF28	0	7.8479641367537	0.1695208337503	0.196733128363645	4.75424398435275	4.50508365743904	84.9871188479482	0	0	1.86337233666109
ARHGEF3	0	16.526770979173	0	0	5.37079311692726	4.90780257100284	3.68734468108072	0	0	0.455706678016801
ARHGEF4	0	4.80502463705721	2.34768203103039	4.92852407953652	0.167828205678165	0	0	0	0.65099848705923	0.455706678016801
ARHGEF5	1.09522907263669	20.7944509508144	0.483481278639099	0.821420679922754	0.188824889839559	0.548247592274761	0	0	0.143405093720248	0.496252302610684
ARMCX2	3.62772717224335	24.3565597942224	1.75590233776855	0	0.629262518790011	0.100470927330584	0	0	0	1.44821128323817
ASGR2	0	0.601022405151215	0	0	0	0	0	6.38724165288367	0	0
ASNS	7.70892024101712	31.9064987808317	14.1825481536349	12.3213101988413	11.3186831869773	0.25117731832646	0.737640682831029	0.35596055957	3.06410187888236	3.72674467332217
ASS1	0	146.140850757298	0	0	1.03992057350198	0.780931269721331	0.232682029187401	0	0	0
ATIC	29.9287491710077	118.57547734037	70.7167207962661	68.1779164335885	66.5636937479028	65.9168960232106	46.112516407884	10.08511839929	0	46.4838075523712
ATOH8	0	3.86594890374665	0	0	0	0.355573151579761	0.33521315282552	15.0428863287429	5.69800398442411	0
ATP13A4	4.99240122103805	1.09884737156285	5.938392639435	4.10710339961377	0.188824889839559	0	0	0	0	6.70425848898628
ATP1B1	0	202.040558369152	0	0	11.5871441478422	7.74730220715761	13.7201167006571	1.58320285103169	0	0.951958980627485
ATP6V0E2	27.3037723388296	40.8973170733699	145.921278953791	124.253623304052	65.4787258459686	52.3726005334892	64.7648519525644	14.8821067996979	0	75.9134447026355
ATP9A	1.09522907263669	20.5888860474965	0.0960915898910879	3.28568271969101	42.1735978563459	9.64600649044046	139.561617191631	0	2.43069579718996	24.4362733070476
AUTS2	33.9521012517373	18.1765800490674	1.82266060467251	30.2969017680013	0.940693545190576	0.050235463665292	0.16760657641276	0.711921119139999	0	66.272218022579
AXIN2	2.31668371359766	5.29750294546936	31.264688326836	6.83964898921387	0	0	0.314643904907061	0	0	0.951958980627485
B3GNT3	0	8.34776658686808	1.95064800270221	0	0	0	0	0	0	0
BACE2	3.17426127571293	56.6620326686133	0.167204004602792	0	0	0	0.116740547868061	0	0	0
BAG3	0	53.0372953157097	1.95086906673595	0	3.28526443769576	2.84458521263809	2.17888549336588	0.323594854065193	0	0
BANK1	1026.19667857268	2.43481849028933	0.359387184384968	0	0.167828205678165	0.150706390995876	0	3.48304627226973	0	1.44821128323817
BCAR1	0	46.583451914713	0	0	8.0290329785591	7.67576265202142	20.766497723866	0	0	0
BCL3	40.1113615345471	66.8378336126965	17.2549029631392	21.6588884658439	4.55908591629061	27.0088400229454	0.50281972923828	98.574616644156	203.833036638983	12.8311734261741
BCL7A	180.252693870842	9.92382281442205	8.82620139791062	5.69970749101156	11.8016736344197	9.53447480763723	69.2215160584699	2.193754256275	0	0
BEND7	0	8.40636070652645	0	0	0.21860446407804	0	0.147528136566206	1.77980279785	15.6983312767398	0
BEX2	29.7822555599856	20.4173358892491	19.6423465165669	18.239063971237	1.01336970005787	0	0.232682029187401	0.15702263724701	0	17.428785830936
BHLHE41	2.04059653438689	13.7626951676818	0	0	342.111545253497	263.702290703797	297.134951272311	0	0	0
BIN1	48.3194031693226	32.8763725356084	161.37332614842	159.591809748324	47.6194961615693	25.587583117624	6.16607377346613	15.6943504221618	0	189.430132337385
BIRC3	13.3319645849693	12.1170631719188	11.3885196309919	5.69970749101156	0.626033817995639	3.79372397653197	0	2.35319429316767	0.212241495164926	0.496252302610684
BLK	507.655071165804	0.317818577487102	3.33075085060559	9.63992328981859	0	0	0	0.161797427032596	0	1.40766565864429
BLNK	39.4515329981465	14.2136425822751	0	0	1.97209036742818	4.00078003689547	0.466962191472243	0.626786930364285	0	0
BMP3	1.36039768959126	0.066092846385651	0	0	0	0	0	0	0	0
BTBD3	5.33670475352343	13.6589599549377	0	0.821420679922754	3.04702784378792	3.4998915843523	3.14120739402991	2.193754256275	0.130924668564202	0.496252302610684
BTNL8	0	0.155749499891351	0	0	0	0	0	0	176.06137992733	0
C15orf48	2.19045814527337	28.734065364324	1.03489691625391	1.13994149820231	116.42512635438	1370.31956582779	17.8001752328362	17.2724900971711	3.93222220635135	0.911413356033602
C1orf116	3.64050297851061	14.1462816482093	0.193694844374005	0	0	0	0	0.62809054898804	0.5822324714388	0
C1QA	0	121.083966808707	0	0	56.2935619031992	231.141183008225	20.2113547095702	13.1619516541913	0	0
C1QB	0	146.378669977359	0	0	84.6949023786048	353.550617771187	170.090978243765	9.24137031038962	0	0
C1QC	0	115.137531771462	0	0	0	4.8151254112319	0.349023043781102	0	0	0
C1QTNF1	0	22.5374906584439	0	0	0	2.23306293016402	0	0	0	0
C1R	1.09522907263669	374.349602708624	4.48044452743576	1.96733128363645	0.188824889839559	0.963372203474999	0	0.626786930364285	10.8056519483942	1.94446358584885
C2	0.827387040570593	31.3151525134038	0.365487578213147	0	41.3906134290515	37.8851641142928	17.9780443716814	4.48066439291618	0	0
C3AR1	0	8.30569255981794	1.37201895975017	35.2152299770924	179.345366653972	493.291885106467	2.06539391192688	164.218175755443	18.0155893391369	76.3594465731682
C4BPB	2.94752832744772	0.382709427105477	4.08076637496851	0	0	0	0	0	0	0
C7	0	6.94740746747089	0	0	0.386432669756205	0	0.16760657641276	0	0	0
C9	0	0.0392205657743106	0	0	0.356653095517725	0.146117568533523	0.350221643604182	0	0	0
CA3	3.64050297851061	0.916757238734033	1.09466944116904	0	0.167828205678165	0.050235463665292	0	0.35596055957	0	3.76729029791606
CA4	0	0.593869425923818	0	0	0	0	0	0.560083049114523	112.557886618526	0
CABLES1	0	9.39530242429101	0	0	2.24534386419378	0.355573151579761	80.8634835611145	0	0	0.496252302610684
