Gene	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
A4GALT	0	22.8650863811127	0	0	0	0.452119172987628	0	0	0	0
ABCC2	0.992864448684711	0.386734439570459	1.065719563395	0	0.167828205678165	0	0.700443287208365	0.336170613309667	2.15410859533665	0
AGR2	0	111.311518598503	0	0	0	0	0	0	0	0
AGR3	0	3.15126740894631	0	0	0	0	0	0	0	0
AKR1B10	0	1.84581822058615	0	0	0	0	0	0	0	0
ALDH3A1	0	2.10712765770733	0	0	0	0	0	0	0	0.496252302610684
AQP2	0	0.00444813790798004	0	0	0.38087848047349	0	3.72291246699842	0	0	0
ARHGEF38	0	1.63462482688777	0	0	0	0	0	0	0	0
ASXL3	0	0.13796206036998	0	0	0	0	0	0	0	0
ATP6V0A4	0	0.222102634031666	0	0	0	0	0	0	0	0.455706678016801
ATP6V1B1	0	1.62904645870685	0	0	0	0	0	0	0	0
ATP8B1	0	18.2098321010582	0	0.821420679922754	0	0	0	0	0	0
C5orf38	0	6.40598262113328	0	0	0	0	0	0	0	0
CA9	0.344303532485383	5.26658238238089	0	0	0.188824889839559	0	0.116341014593701	0	0	0
CAPN6	0	0.553464307844016	0	0	0	0	0	0	0	0
CBLC	0	19.1141640075209	0	0	0	0	0	0	0	0
CCDC50	59.6307653937501	30.1333469613818	1.41579816603726	2.16406441200009	12.0214845569487	8.81044182196911	7.37640682831029	10.1932379030536	0	8.15246977222445
CHD4	43.1896035177849	160.405531980529	6.2618465466052	18.0994478094553	2.66318058758364	3.92583349425785	2.5079783216255	7.05958287950301	66.8515762457519	13.2771752967068
CLDN16	0	0.438560425191323	0	0	0	0	0	0	0	0
CLDN2	0	0.393409270296292	0	0	0	0	0	0	0	0
CLDN8	0	0.47045196053604	0	0	0	0	0	0	0	0
CLIC5	0.330954816228237	1.51265850659578	0.202689158136662	1.13994149820231	0	0	0	0	0	0
CNTN4	0	1.62072759518285	0	0	0	0	0	0	0	0
