"","x"
"1","CHD5"
"2","RPL22"
"3","RNF207"
"4","RP1-120G22.11"
"5","LINC00337"
"6","HES3"
"7","ESPN"
"8","TAS1R1"
"9","PHF13"
"10","KLHL21"
"11","THAP3"
"12","RP11-312B8.1"
"13","RNU1-8P"
"14","DUSP5"
"15","RP11-525A16.4"
"16","ATG13"
"17","HARBI1"
"18","NR1H3"
"19","MADD"
"20","RP11-17G12.3"
"21","AC090559.2"
"22","SLC39A13"
"23","PSMC3"
"24","RP11-750H9.5"
"25","RNU5E-10P"
"26","NUP160"
"27","FTH1"
"28","AP003733.1"
"29","INCENP"
"30","SCGB1D4"
"31","ASRGL1"
"32","RP11-703H8.7"
"33","NPM1P35"
"34","MEN1"
"35","MAP4K2"
"36","EHD1"
"37","AP001187.1"
"38","MIR192"
"39","MIR194"
"40","RP11-665N17.4"
"41","ARL2"
"42","RP11-399J13.3"
"43","CDCA5"
"44","ZFPL1"
"45","VPS51"
"46","TM7SF2"
"47","AP003068.9"
"48","ZNHIT2"
"49","AP003068.12"
"50","MRPL49"
"51","FAU"
"52","AP001885.1"
"53","ADRBK1"
"54","ANKRD13D"
"55","CLCF1"
"56","PPP1CA"
"57","RAD9A"
"58","TBC1D10C"
"59","RNU6-1238P"
"60","TMEM134"
"61","GPR152"
"62","CABP4"
"63","CTC-1337H24.1"
"64","CTC-1337H24.2"
"65","AIP"
"66","PITPNM1"
"67","CDK2AP2"
"68","SCN4B"
"69","SCN2B"
"70","AMICA1"
"71","CD3G"
"72","UBE4A"
"73","CCDC84"
"74","RPL23AP64"
"75","RP11-110I1.11"
"76","RP11-110I1.5"
"77","RPS25"
"78","TRAPPC4"
"79","MIR3656"
"80","RP11-1007G5.2"
"81","RP11-121M22.1"
"82","ZBTB44"
"83","TAPBPL"
"84","CD27-AS1"
"85","VAMP1"
"86","NCAPD2"
"87","MRPL51"
"88","GAPDH"
"89","RP5-940J5.3"
"90","IFFO1"
"91","RP5-940J5.8"
"92","NOP2"
"93","CHD4"
"94","RP5-940J5.6"
"95","SCARNA11"
"96","LPAR5"
"97","ACRBP"
"98","ING4"
"99","RP4-761J14.8"
"100","COPS7A"
"101","RP4-761J14.9"
"102","MLF2"
