"","x"
"1","TNFRSF25"
"2","PLAU"
"3","BLNK"
"4","CD3E"
"5","ETS1"
"6","SPI1"
"7","FADS3"
"8","CDC42BPG"
"9","CARNS1"
"10","GLT1D1"
"11","PLBD1"
"12","RAPGEF3"
"13","NFE2"
"14","LRP1"
"15","PTMS"
"16","LAG3"
"17","INF2"
"18","PLD4"
"19","P2RX1"
"20","JUP"
"21","CD79B"
"22","SLC14A1"
"23","LRRC25"
"24","PLEKHF1"
"25","SARS2"
"26","CEACAM1"
"27","FPR3"
"28","CERS4"
"29","NLRC4"
"30","SLA2"
"31","SOGA1"
"32","PPP1R16B"
"33","UBASH3A"
"34","PARVB"
"35","GP9"
"36","CCDC50"
"37","ACSL1"
"38","GABRA4"
"39","SLC12A7"
"40","LTA"
"41","C2"
"42","PI16"
"43","FGD2"
"44","DNPH1"
"45","DST"
"46","TNFRSF10C"
"47","PNOC"
"48","CEBPD"
"49","ENG"
"50","AK1"
"51","ST6GALNAC6"
"52","FUT7"
