BPRNACan,BPRNACanProMet,BPRNACan3DProMet
AEBP1,HIST1H2AL,MIA2
AFAP1L1,HLA-E,MMP25
AFF3,HSPA9,MMP8
AGMAT,HSPB6,MPO
AHNAK,ICAM3,MS4A3
AIFM3,IGFLR1,NFE2
AK1,IKZF4,NLRP12
AK4,IL18BP,PADI4
AK5,INPP5J,PF4
AK8,IQCE,PGLYRP1
AKAP2,ITGAE,PHOSPHO1
AKAP5,ITPKC,PPBP
AKAP6,KLHDC4,PROK2
AKR1B1,KLHL6,PRTN3
ALCAM,LBX2,RETN
ALDH18A1,LIN37,RNASE2
ALDH1A1,LMBR1L,RNASE3
ALDH1B1,LOXL3,S100A12
ALDH2,LRRC32,SDHD
ALKBH8,LRTOMT,SIGLEC5
ALPK1,LTC4S,SMIM3
ALPL,LY6G6C,SNURF
AMIGO1,LY6G6D,TREML2
AMZ1,LYL1,TUBB1
ANGPT4,LYNX1,VNN3
ANK3,LYPD2,ZDHHC19
ANKEF1,MAB21L3,A2M
ANKRD13B,MADD,ABCB1
ANKRD22,MAF1,ABCB4
ANKRD55,MAFK,ABCC3
ANO5,MAML1,ABCC6
ANPEP,MAP4K2,ABCD2
ANXA1,MAP4K4,ABHD15
ANXA2,MARS,ABLIM1
ANXA3,MEN1,ACCS
APBA2,MEPCE,ACER1
APBB1,MGAT1,ACKR3
APOBEC3B,MGAT4B,ACOT11
APOC1,MIB2,ACOT2
APOC2,MIP,ACOT4
AQP3,MLF2,ACOX2
ARAP3,MLST8,ACPP
ARHGAP10,MMP23B,ACSL1
ARHGAP22,MTCH1,ACSL6
ARHGAP24,MTG1,ACSM5
ARHGAP42,MTHFD1,ACVR2A
ARHGEF10L,MTMR14,ADAM19
ARHGEF25,MUC4,ADAM28
ARHGEF28,MVD,ADAMDEC1
ARHGEF40,MYB,ADAMTS1
ARL11,MYBPC3,ADAMTS10
ARL4C,MYO1A,ADAMTS15
ARMC9,NAA40,ADAMTS17
ASCL2,NABP2,ADAMTSL4
ASGR2,NACC1,ADAP2
ATIC,NCAPD2,ADARB1
ATOH8,NCK2,ADCY1
ATP10A,NCLN,ADCY3
ATP6V0E2,NDUFS8,ADM
ATP9A,NFKBIB,ADM2
AUTS2,NKAPL,ADORA2B
AVPI1,NLRP6,ADORA3
AXIN2,NOL9,ADRA2B
B3GAT1,NOP10,AEBP1
B3GNT5,NPDC1,AFAP1L1
B3GNT7,NPEPL1,AFF3
B4GALT6,NPFF,AGMAT
BACH2,NPRL2,AHNAK
BAIAP3,NR1H3,AIFM3
BANK1,NR2F6,AK1
BASP1,NRL,AK4
BATF3,NSFL1C,AK5
BCAR1,NUMA1,AK8
BCAS4,OR52W1,AKAP2
BCAT1,OS9,AKAP5
BCL11B,OSR1,AKAP6
BCL3,P2RX4,AKR1B1
BCL7A,P4HB,ALCAM
BEND5,PACS2,ALDH18A1
BEST1,PAK2,ALDH1A1
BEX2,PAOX,ALDH1B1
BHLHE41,PAX8,ALDH2
BIN1,PCDHGB6,ALKBH8
BIRC3,PCK2,ALPK1
BLK,PDE6A,ALPL
BLMH,PDIA5,AMIGO1
BLNK,PDLIM7,AMZ1
BMS1,PENK,ANGPT4
BNC2,PHC3,ANK3
BOK,PHKG1,ANKEF1
BST1,PHLPP2,ANKRD13B
BTK,PIEZO1,ANKRD22
BTLA,PIGX,ANKRD55
BTNL8,PILRB,ANO5
C11orf45,PLA2G15,ANPEP
C12orf29,POLL,ANXA1
C17orf64,POP7,ANXA2
C1orf115,POU4F2,ANXA3
C1orf21,PPP1CA,APBA2
C1orf52,PPP1R27,APBB1
C1orf54,PRKAR2A,APOBEC3B
C1QA,PRLHR,APOC1
C1QB,PROZ,APOC2
C1QC,PSENEN,AQP3
C2,PSORS1C1,ARAP3
C20orf194,PTPN22,ARHGAP10
C22orf24,PTPN6,ARHGAP22
C3AR1,PUF60,ARHGAP24
C5AR1,RAD9A,ARHGAP42
C5AR2,RASSF1,ARHGEF10L
CA4,RAVER1,ARHGEF25
CABLES1,RBM23,ARHGEF28
CACNA2D3,RBM4B,ARHGEF40
CALHM2,RELB,ARL11
CALHM3,RELT,ARL4C
CAMK4,RHOF,ARMC9
CAPN11,RIPPLY3,ASCL2
CAPN2,RNF121,ASGR2
CAPNS2,RNF166,ATIC
CARD11,ROCK2,ATOH8
CARD9,RPN1,ATP10A
CARNS1,RTEL1,ATP6V0E2
CATSPER1,S1PR4,ATP9A
CATSPERB,SAMM50,AUTS2
CBFA2T3,SAR1A,AVPI1
CBR3,SCRIB,AXIN2
CBS,SEMA4B,B3GAT1
CCDC102A,SERPINF2,B3GNT5
CCDC112,SERPINH1,B3GNT7
CCDC136,SETD1B,B4GALT6
CCDC144A,SGSM3,BACH2
CCDC149,SGTA,BAIAP3
CCDC170,SHARPIN,BANK1
CCDC50,SHROOM1,BASP1
CCDC6,SIAH1,BATF3
CCDC65,SIM2,BCAR1
CCDC89,SIPA1L3,BCAS4
CCL1,SIRT2,BCAT1
CCL15,SLC15A3,BCL11B
CCL2,SLC16A3,BCL3
CCL22,SLC16A6,BCL7A
CCL23,SLC17A9,BEND5
CCL28,SLC19A1,BEST1
CCL5,SLC25A15,BEX2
CCL7,SLC48A1,BHLHE41
CCL8,SLC4A2,BIN1
CCM2L,SLC7A14,BIRC3
CCNA1,SLC7A6,BLK
CCND1,SMG6,BLMH
CCNJL,SNX21,BLNK
CCR3,SPATA13,BMS1
CCR4,SPIDR,BNC2
CCR5,SQSTM1,BOK
CCR7,SRCAP,BST1
CCR8,SRR,BTK
CCRL2,SSH3,BTLA
CD109,SSTR5,BTNL8
CD160,STEAP3,C11orf45
CD163,STK16,C12orf29
CD180,SUCLG2,C17orf64
CD19,SULT1A3,C1orf115
CD1A,SUOX,C1orf21
CD1C,SYCP2L,C1orf52
CD1D,SYNJ2,C1orf54
CD2,SYS1,C1QA
CD200,TARBP2,C1QB
CD22,TBC1D20,C1QC
CD226,TBX4,C2
CD244,TCIRG1,C20orf194
CD247,TEX30,C22orf24
CD27,TFDP1,C3AR1
CD276,THAP4,C5AR1
CD28,THOP1,C5AR2
CD300C,TLE6,CA4
CD300LB,TLX1,CABLES1
CD300LF,TLX2,CACNA2D3
CD33,TMCO3,CALHM2
CD36,TMEM132A,CALHM3
CD3D,TMEM14B,CAMK4
CD3E,TMEM184A,CAPN11
CD40,TMEM63C,CAPN2
CD6,TMUB1,CAPNS2
CD69,TMUB2,CARD11
CD7,TNF,CARD9
CD70,TNKS1BP1,CARNS1
CD79A,TNNC2,CATSPER1
CD79B,TPST2,CATSPERB
CD86,TRA2B,CBFA2T3
CD96,TRMT1,CBR3
CDA,TYK2,CBS
CDC42BPA,U2AF1L4,CCDC102A
CDC42BPB,U2AF2,CCDC112
CDC42BPG,UBR5,CCDC136
CDC42EP1,VASN,CCDC144A
CDC42EP5,VPS18,CCDC149
CDH23,VPS9D1,CCDC170
CDK14,VSX1,CCDC50
CDK2AP1,WDR87,CCDC6
CDKN1B,WIPI1,CCDC65
CDS1,WWP2,CCDC89
CEACAM1,XXYLT1,CCL1
CEACAM21,ZBTB12,CCL15
CEBPA,ZCWPW1,CCL2
CEBPD,ZDHHC4,CCL22
CELSR1,ZHX2,CCL23
CENPV,ZMYND10,CCL28
CERCAM,ZNF132,CCL5
CERS4,ZNF205,CCL7
CES1,ZNF276,CCL8
CFH,ZNF500,CCM2L
CFP,ZNF641,CCNA1
CH25H,ZNF668,CCND1
CHI3L1,ZNF74,CCNJL
CHIT1,ZSCAN10,CCR3
CHL1,ZSCAN18,CCR4
CHMP4C,AHSP,CCR5
CHN2,ALAS2,CCR7
CHST15,AQP9,CCR8
CIITA,ARG1,CCRL2
CISH,AZU1,CD109
CLDN23,CA1,CD160
CLEC10A,CAMP,CD163
CLEC5A,CEACAM3,CD180
CLEC6A,CEACAM4,CD19
CLEC7A,CEACAM8,CD1A
CLECL1,CHTF8,CD1C
CLIC3,CLC,CD1D
CLIC4,CMTM2,CD2
CLMN,CRIP1,CD200
CLRN3,CXCR1,CD22
CLU,CXCR2,CD226
CMSS1,DEFA1,CD244
CMTM8,DEFA4,CD247
CNIH3,ELANE,CD27
CNR1,FCAR,CD276
CNR2,FCGR3B,CD28
CNTLN,FFAR2,CD300C
CNTNAP2,FOLR3,CD300LB
CNTNAP3,FPR2,CD300LF
COBLL1,FUT7,CD33
COL19A1,GATA1,CD36
COL5A3,GLT1D1,CD3D
COL6A2,GP9,CD3E
COL8A2,GYPB,CD40
COLEC12,HBD,CD6
CPA5,HBM,CD69
CPM,HBQ1,CD7
CPNE2,HRH2,CD70
CPNE5,IL18RAP,CD79A
CR2,MEFV,CD79B
CRABP2,MGAM,CD86
CREB5,MIA2,CD96
CRIP2,MMP25,CDA
CRTAM,MMP8,CDC42BPA
CSF1,MPO,CDC42BPB
CSF1R,MS4A3,CDC42BPG
CSF3R,NFE2,CDC42EP1
CSPG4,NLRP12,CDC42EP5
CST6,PADI4,CDH23
CSTA,PF4,CDK14
CTBP2,PGLYRP1,CDK2AP1
CTNNAL1,PHOSPHO1,CDKN1B
CTSL,PPBP,CDS1
CTSV,PROK2,CEACAM1
CTSW,PRTN3,CEACAM21
CTTN,RETN,CEBPA
CX3CR1,RNASE2,CEBPD
CXADR,RNASE3,CELSR1
CXCL1,S100A12,CENPV
CXCL10,SDHD,CERCAM
CXCL16,SIGLEC5,CERS4
CXCL3,SMIM3,CES1
CXCL5,SNURF,CFH
CXCR3,TREML2,CFP
CXCR6,TUBB1,CH25H
CYB5A,VNN3,CHI3L1
CYBB,ZDHHC19,CHIT1
CYFIP1,A2M,CHL1
CYGB,ABCB1,CHMP4C
CYP19A1,ABCB4,CHN2
CYP1B1,ABCC3,CHST15
CYP27A1,ABCC6,CIITA
CYP27B1,ABCD2,CISH
CYP2U1,ABHD15,CLDN23
CYP4F3,ABLIM1,CLEC10A
DAB2,ACCS,CLEC5A
DAPK1,ACER1,CLEC6A
DCAF4,ACKR3,CLEC7A
DCHS1,ACOT11,CLECL1
DCSTAMP,ACOT2,CLIC3
DENND5B,ACOT4,CLIC4
DERL3,ACOX2,CLMN
DGAT2,ACPP,CLRN3
DGKG,ACSL1,CLU
DHRS11,ACSL6,CMSS1
DHRS3,ACSM5,CMTM8
DHRS9,ACVR2A,CNIH3
DIRAS1,ADAM19,CNR1
DIXDC1,ADAM28,CNR2
DKK3,ADAMDEC1,CNTLN
DLEU7,ADAMTS1,CNTNAP2
DLG3,ADAMTS10,CNTNAP3
DNASE1L3,ADAMTS15,COBLL1
DNASE2B,ADAMTS17,COL19A1
DNPH1,ADAMTSL4,COL5A3
DOCK3,ADAP2,COL6A2
DOCK4,ADARB1,COL8A2
DOCK5,ADCY1,COLEC12
DOK2,ADCY3,CPA5
DPH5,ADM,CPM
DPP4,ADM2,CPNE2
DPYSL2,ADORA2B,CPNE5
DSC2,ADORA3,CR2
DSEL,ADRA2B,CRABP2
DSP,AEBP1,CREB5
DST,AFAP1L1,CRIP2
DTNA,AFF3,CRTAM
DTX1,AGMAT,CSF1
DTX3,AHNAK,CSF1R
DUSP13,AIFM3,CSF3R
DYSF,AK1,CSPG4
E2F5,AK4,CST6
EBF1,AK5,CSTA
EBF4,AK8,CTBP2
EBI3,AKAP2,CTNNAL1
ECHDC2,AKAP5,CTSL
EDA,AKAP6,CTSV
EDARADD,AKR1B1,CTSW
EDN1,ALCAM,CTTN
EEPD1,ALDH18A1,CX3CR1
EFHC2,ALDH1A1,CXADR
EGFL7,ALDH1B1,CXCL1
EGR3,ALDH2,CXCL10
EIF1AX,ALKBH8,CXCL16
ELOVL3,ALPK1,CXCL3
ELOVL4,ALPL,CXCL5
EMILIN1,AMIGO1,CXCR3
EMP1,AMZ1,CXCR6
ENDOD1,ANGPT4,CYB5A
ENDOG,ANK3,CYBB
ENG,ANKEF1,CYFIP1
ENPP5,ANKRD13B,CYGB
ENTHD1,ANKRD22,CYP19A1
ENTPD1,ANKRD55,CYP1B1
EOMES,ANO5,CYP27A1
EPB41L1,ANPEP,CYP27B1
EPB41L3,ANXA1,CYP2U1
EPHA1,ANXA2,CYP4F3
EPHA4,ANXA3,DAB2
EPHX2,APBA2,DAPK1
EPPK1,APBB1,DCAF4
ESM1,APOBEC3B,DCHS1
ETNK2,APOC1,DCSTAMP
ETS1,APOC2,DENND5B
ETS2,AQP3,DERL3
EVA1C,ARAP3,DGAT2
F2R,ARHGAP10,DGKG
F2RL1,ARHGAP22,DHRS11
F3,ARHGAP24,DHRS3
F5,ARHGAP42,DHRS9
FAAH2,ARHGEF10L,DIRAS1
FABP3,ARHGEF25,DIXDC1
FABP4,ARHGEF28,DKK3
FABP5,ARHGEF40,DLEU7
FADS3,ARL11,DLG3
FAM124B,ARL4C,DNASE1L3
FAM153B,ARMC9,DNASE2B
FAM169A,ASCL2,DNPH1
FAM20A,ASGR2,DOCK3
FAM20C,ATIC,DOCK4
FAM3C,ATOH8,DOCK5
FAM49A,ATP10A,DOK2
FARP1,ATP6V0E2,DPH5
FASLG,ATP9A,DPP4
FAT4,AUTS2,DPYSL2
FBLN5,AVPI1,DSC2
FBLN7,AXIN2,DSEL
FBXL16,B3GAT1,DSP
FBXO15,B3GNT5,DST
FBXO2,B3GNT7,DTNA
FCER2,B4GALT6,DTX1
FCGR1A,BACH2,DTX3
FCGR1B,BAIAP3,DUSP13
FCGR2B,BANK1,DYSF
FCRL1,BASP1,E2F5
FCRL2,BATF3,EBF1
FCRL3,BCAR1,EBF4
FCRL5,BCAS4,EBI3
FDX1,BCAT1,ECHDC2
FFAR1,BCL11B,EDA
FGD2,BCL3,EDARADD
FGD4,BCL7A,EDN1
FGF9,BEND5,EEPD1
FGFBP2,BEST1,EFHC2
FGFRL1,BEX2,EGFL7
FHIT,BHLHE41,EGR3
FILIP1L,BIN1,EIF1AX
FKBP9,BIRC3,ELOVL3
FLRT2,BLK,ELOVL4
FN1,BLMH,EMILIN1
FOSB,BLNK,EMP1
FOSL2,BMS1,ENDOD1
FPR1,BNC2,ENDOG
FPR3,BOK,ENG
FRMD4A,BST1,ENPP5
FSCN1,BTK,ENTHD1
FXYD2,BTLA,ENTPD1
FXYD7,BTNL8,EOMES
FYN,C11orf45,EPB41L1
FZD1,C12orf29,EPB41L3
FZD2,C17orf64,EPHA1
GABRA4,C1orf115,EPHA4
GADD45GIP1,C1orf21,EPHX2
GAL,C1orf52,EPPK1
GALNT12,C1orf54,ESM1
GAPT,C1QA,ETNK2
GAS1,C1QB,ETS1
GAS6,C1QC,ETS2
GBP4,C2,EVA1C
GCA,C20orf194,F2R
GCNT4,C22orf24,F2RL1
GDF7,C3AR1,F3
GEM,C5AR1,F5
GFI1,C5AR2,FAAH2
GGACT,CA4,FABP3
GH1,CABLES1,FABP4
GIMAP5,CACNA2D3,FABP5
GIMAP7,CALHM2,FADS3
GIMAP8,CALHM3,FAM124B
GJA5,CAMK4,FAM153B
GLB1L2,CAPN11,FAM169A
GLP1R,CAPN2,FAM20A
GMPR,CAPNS2,FAM20C
GNAQ,CARD11,FAM3C
GNB4,CARD9,FAM49A
GNG12,CARNS1,FARP1
GNLY,CATSPER1,FASLG
GOLGA8A,CATSPERB,FAT4
GOLT1A,CBFA2T3,FBLN5
GPA33,CBR3,FBLN7
GPAT2,CBS,FBXL16
GPATCH4,CCDC102A,FBXO15
GPBAR1,CCDC112,FBXO2
GPC4,CCDC136,FCER2
GPD1,CCDC144A,FCGR1A
GPER1,CCDC149,FCGR1B
GPNMB,CCDC170,FCGR2B
GPR15,CCDC50,FCRL1
GPR162,CCDC6,FCRL2
GPR171,CCDC65,FCRL3
GPR174,CCDC89,FCRL5
GPR18,CCL1,FDX1
GPR27,CCL15,FFAR1
GPR84,CCL2,FGD2
GPR85,CCL22,FGD4
GPRASP1,CCL23,FGF9
GRAMD1C,CCL28,FGFBP2
GRAP2,CCL5,FGFRL1
GRASP,CCL7,FHIT
GRB10,CCL8,FILIP1L
GREM1,CCM2L,FKBP9
GRIK4,CCNA1,FLRT2
GSPT2,CCND1,FN1
GTF2H3,CCNJL,FOSB
GTF2IRD1,CCR3,FOSL2
GTSCR1,CCR4,FPR1
GUCA1A,CCR5,FPR3
GUCY2F,CCR7,FRMD4A
GZMA,CCR8,FSCN1
GZMB,CCRL2,FXYD2
GZMH,CD109,FXYD7
GZMK,CD160,FYN
H6PD,CD163,FZD1
HABP4,CD180,FZD2
HAPLN3,CD19,GABRA4
HBEGF,CD1A,GADD45GIP1
HCAR3,CD1C,GAL
HDX,CD1D,GALNT12
HEG1,CD2,GAPT
HEPACAM,CD200,GAS1
HGF,CD22,GAS6
HHEX,CD226,GBP4
HINT2,CD244,GCA
HIP1R,CD247,GCNT4
HIST1H3G,CD27,GDF7
HK2,CD276,GEM
HKDC1,CD28,GFI1
HLA-DOA,CD300C,GGACT
HLA-DOB,CD300LB,GH1
HLA-DPA1,CD300LF,GIMAP5
HLA-DPB1,CD33,GIMAP7
HLA-DQA1,CD36,GIMAP8
HLA-DQA2,CD3D,GJA5
HLA-DQB2,CD3E,GLB1L2
HLX,CD40,GLP1R
HNMT,CD6,GMPR
HOMER3,CD69,GNAQ
HOOK1,CD7,GNB4
HOXB2,CD70,GNG12
HOXB3,CD79A,GNLY
HPCAL4,CD79B,GOLGA8A
HPGD,CD86,GOLT1A
HRK,CD96,GPA33
HS3ST1,CDA,GPAT2
HS3ST2,CDC42BPA,GPATCH4
HSD11B1,CDC42BPB,GPBAR1
HSD17B14,CDC42BPG,GPC4
HSH2D,CDC42EP1,GPD1
HSPA6,CDC42EP5,GPER1
HSPB1,CDH23,GPNMB
HSPH1,CDK14,GPR15
HTRA1,CDK2AP1,GPR162
HYKK,CDKN1B,GPR171
ICAM4,CDS1,GPR174
ICAM5,CEACAM1,GPR18
ID1,CEACAM21,GPR27
IDO1,CEBPA,GPR84
IER3IP1,CEBPD,GPR85
IFITM1,CELSR1,GPRASP1
IFNG,CENPV,GRAMD1C
IFNGR2,CERCAM,GRAP2
IGFBP3,CERS4,GRASP
IGFBP4,CES1,GRB10
IGFBP6,CFH,GREM1
IGFBP7,CFP,GRIK4
IGSF9B,CH25H,GSPT2
IKZF2,CHI3L1,GTF2H3
IKZF3,CHIT1,GTF2IRD1
IL10,CHL1,GTSCR1
IL12A,CHMP4C,GUCA1A
IL12RB1,CHN2,GUCY2F
IL12RB2,CHST15,GZMA
IL13RA1,CIITA,GZMB
IL17RB,CISH,GZMH
IL18,CLDN23,GZMK
IL18R1,CLEC10A,H6PD
IL1A,CLEC5A,HABP4
IL1R2,CLEC6A,HAPLN3
IL1RN,CLEC7A,HBEGF
IL23A,CLECL1,HCAR3
IL27RA,CLIC3,HDX
IL32,CLIC4,HEG1
IL6,CLMN,HEPACAM
IL6R,CLRN3,HGF
IL7R,CLU,HHEX
INF2,CMSS1,HINT2
INSL3,CMTM8,HIP1R
IPCEF1,CNIH3,HIST1H3G
IQSEC2,CNR1,HK2
IRAK3,CNR2,HKDC1
IRF5,CNTLN,HLA-DOA
IRF8,CNTNAP2,HLA-DOB
IRGQ,CNTNAP3,HLA-DPA1
IRS1,COBLL1,HLA-DPB1
ISM1,COL19A1,HLA-DQA1
ITGA1,COL5A3,HLA-DQA2
ITGA2B,COL6A2,HLA-DQB2
ITGA3,COL8A2,HLX
ITGA6,COLEC12,HNMT
ITGB5,CPA5,HOMER3
ITGB7,CPM,HOOK1
ITGB8,CPNE2,HOXB2
ITK,CPNE5,HOXB3
ITM2A,CR2,HPCAL4
ITPR1,CRABP2,HPGD
ITPR3,CREB5,HRK
ITPRIPL1,CRIP2,HS3ST1
ITSN1,CRTAM,HS3ST2
JAG1,CSF1,HSD11B1
JAK3,CSF1R,HSD17B14
JAKMIP1,CSF3R,HSH2D
JAKMIP2,CSPG4,HSPA6
JAM3,CST6,HSPB1
JDP2,CSTA,HSPH1
JUP,CTBP2,HTRA1
KCNA3,CTNNAL1,HYKK
KCNE1,CTSL,ICAM4
KCNE3,CTSV,ICAM5
KCNF1,CTSW,ID1
KCNG1,CTTN,IDO1
KCNH3,CX3CR1,IER3IP1
KCNJ15,CXADR,IFITM1
KCNJ2,CXCL1,IFNG
KCNJ5,CXCL10,IFNGR2
KCNK13,CXCL16,IGFBP3
KCNMB1,CXCL3,IGFBP4
KCNN4,CXCL5,IGFBP6
KCNQ5,CXCR3,IGFBP7
KCTD12,CXCR6,IGSF9B
KCTD15,CYB5A,IKZF2
KHDRBS2,CYBB,IKZF3
KIAA0513,CYFIP1,IL10
KIAA1210,CYGB,IL12A
KIAA1324,CYP19A1,IL12RB1
KIAA1671,CYP1B1,IL12RB2
KIF13A,CYP27A1,IL13RA1
KIF19,CYP27B1,IL17RB
KIF21B,CYP2U1,IL18
KIF4A,CYP4F3,IL18R1
KIF5C,DAB2,IL1A
KIFC3,DAPK1,IL1R2
KIR2DL3,DCAF4,IL1RN
KIR3DL1,DCHS1,IL23A
KIR3DX1,DCSTAMP,IL27RA
KITLG,DENND5B,IL32
KLF12,DERL3,IL6
KLF8,DGAT2,IL6R
KLK4,DGKG,IL7R
KLRB1,DHRS11,INF2
KLRC1,DHRS3,INSL3
KLRC2,DHRS9,IPCEF1
KLRC3,DIRAS1,IQSEC2
KLRC4,DIXDC1,IRAK3
KLRD1,DKK3,IRF5
KLRF1,DLEU7,IRF8
KLRG1,DLG3,IRGQ
KLRK1,DNASE1L3,IRS1
KMO,DNASE2B,ISM1
KRT2,DNPH1,ITGA1
KRT23,DOCK3,ITGA2B
KRT3,DOCK4,ITGA3
KRT4,DOCK5,ITGA6
KRT78,DOK2,ITGB5
KRT86,DPH5,ITGB7
KYNU,DPP4,ITGB8
L3MBTL4,DPYSL2,ITK
LAG3,DSC2,ITM2A
LAMA5,DSEL,ITPR1
LAMB2,DSP,ITPR3
LAMB3,DST,ITPRIPL1
LAMC1,DTNA,ITSN1
LAT2,DTX1,JAG1
LAX1,DTX3,JAK3
LBH,DUSP13,JAKMIP1
LCK,DYSF,JAKMIP2
LDHAL6B,E2F5,JAM3
LDHB,EBF1,JDP2
LDHD,EBF4,JUP
LDLRAD3,EBI3,KCNA3
LDOC1,ECHDC2,KCNE1
LEF1,EDA,KCNE3
LGALS2,EDARADD,KCNF1
LGALSL,EDN1,KCNG1
LGR6,EEPD1,KCNH3
LHFPL2,EFHC2,KCNJ15
LILRA1,EGFL7,KCNJ2
LILRA2,EGR3,KCNJ5
LILRA6,EIF1AX,KCNK13
LILRB2,ELOVL3,KCNMB1
LILRB3,ELOVL4,KCNN4
LIM2,EMILIN1,KCNQ5
LIMD1,EMP1,KCTD12
LIN7A,ENDOD1,KCTD15
LINGO1,ENDOG,KHDRBS2
LINGO2,ENG,KIAA0513
LMNA,ENPP5,KIAA1210
LMO2,ENTHD1,KIAA1324
LONRF3,ENTPD1,KIAA1671
LPAR3,EOMES,KIF13A
LPCAT2,EPB41L1,KIF19
LPL,EPB41L3,KIF21B
LRFN2,EPHA1,KIF4A
LRFN4,EPHA4,KIF5C
LRG1,EPHX2,KIFC3
LRIG1,EPPK1,KIR2DL3
LRP1,ESM1,KIR3DL1
LRP3,ETNK2,KIR3DX1
LRRC25,ETS1,KITLG
LRRC4,ETS2,KLF12
LRRK1,EVA1C,KLF8
LRRK2,F2R,KLK4
LRRN3,F2RL1,KLRB1
LSR,F3,KLRC1
LTA,F5,KLRC2
LY86,FAAH2,KLRC3
LY9,FABP3,KLRC4
LY96,FABP4,KLRD1
LYN,FABP5,KLRF1
LYPD6B,FADS3,KLRG1
LYZ,FAM124B,KLRK1
MAF,FAM153B,KMO
MAFB,FAM169A,KRT2
MAGEE1,FAM20A,KRT23
MAL,FAM20C,KRT3
MAN1C1,FAM3C,KRT4
MANEAL,FAM49A,KRT78
MANSC1,FARP1,KRT86
MAOA,FASLG,KYNU
MAP2,FAT4,L3MBTL4
MAP3K9,FBLN5,LAG3
MAP4K1,FBLN7,LAMA5
MAP9,FBXL16,LAMB2
MARC1,FBXO15,LAMB3
MARCH1,FBXO2,LAMC1
MARCH9,FCER2,LAT2
MARCKS,FCGR1A,LAX1
MARCO,FCGR1B,LBH
MARVELD1,FCGR2B,LCK
MATK,FCRL1,LDHAL6B
MATN1,FCRL2,LDHB
MB21D2,FCRL3,LDHD
MBNL2,FCRL5,LDLRAD3
MBNL3,FDX1,LDOC1
