BPRNACan,BPRNACanProMet,BPRNACan3DProMet
AHSP,ACLY,ACLY
ALAS2,AGGF1,ARHGDIA
AQP9,AKT1,ARSG
ARG1,ANK1,ATG4D
AZU1,ANKS3,BCL2L2
CA1,AP3M2,BRAT1
CAMP,AP5S1,C12orf57
CEACAM3,ARHGAP9,C7orf50
CEACAM4,ARHGDIA,CAPG
CEACAM8,ARHGEF39,CBX2
CHTF8,ARSG,CD4
CLC,ATG4B,CD82
CMTM2,ATG4D,CDKN2D
CRIP1,ATP2A3,CLK4
CXCR1,BCL2L2,COPZ1
CXCR2,BEND3,CYTH1
DEFA1,BIN2,DCUN1D2
DEFA4,BRAT1,DNMBP
ELANE,C11orf42,ERI1
FCAR,C12orf57,FASN
FCGR3B,C16orf71,FOXK2
FFAR2,C7orf26,GCGR
FOLR3,C7orf50,GLS2
FPR2,CABLES2,HELZ2
FUT7,CALM2,HIST1H2AL
GATA1,CAP2,HLA-E
GLT1D1,CAPG,HSPB6
GP9,CAPN15,ICAM3
GYPB,CARD10,IGFLR1
HBD,CBX2,IQCE
HBM,CCDC106,KLHL6
HBQ1,CCDC107,LBX2
HRH2,CD320,LIN37
IL18RAP,CD4,LMBR1L
MEFV,CD82,MAFK
MGAM,CDC42EP4,MIP
MIA2,CDK11B,MLF2
MMP25,CDKN2D,MTMR14
MMP8,CDSN,MYBPC3
MPO,CEBPE,NCK2
MS4A3,CENPM,OSR1
NFE2,CGA,P4HB
NLRP12,CIB1,PPP1R27
PADI4,CITED4,PSENEN
PF4,CLK4,PTPN6
PGLYRP1,CLPTM1,RAVER1
PHOSPHO1,COMMD8,RBM23
PPBP,COPZ1,RPN1
PROK2,CORO1A,SLC16A3
PRTN3,CRNKL1,SLC16A6
RETN,CSNK2B,SPATA13
RNASE2,CTSD,SPIDR
RNASE3,CTSZ,SYNJ2
S100A12,CUL9,TLX2
SDHD,CYC1,TMCO3
SIGLEC5,CYTH1,TMEM184A
SMIM3,DCPS,TNKS1BP1
SNURF,DCUN1D2,TYK2
TREML2,DDAH2,U2AF1L4
TUBB1,DDR1,UBR5
VNN3,DHODH,WIPI1
ZDHHC19,DHTKD1,ZNF641
A2M,DIABLO,ZNF668
ABCB1,DLX2,AHSP
ABCB4,DNASE1L2,ALAS2
ABCC3,DNMBP,AQP9
ABCC6,DOK3,ARG1
ABCD2,DPCD,AZU1
ABHD15,DTNB,CA1
ABLIM1,DUS2,CAMP
ACCS,E4F1,CEACAM3
ACER1,EHMT2,CEACAM4
ACKR3,ENTPD2,CEACAM8
ACOT11,EPHX3,CHTF8
ACOT2,ERI1,CLC
ACOT4,ERI2,CMTM2
ACOX2,ESPN,CRIP1
ACPP,ETHE1,CXCR1
ACSL1,EXOSC4,CXCR2
ACSL6,FAM160A2,DEFA1
ACSM5,FAM167B,DEFA4
ACVR2A,FASN,ELANE
ADAM19,FASTK,FCAR
ADAM28,FOXK2,FCGR3B
ADAMDEC1,FYCO1,FFAR2
ADAMTS1,FZR1,FOLR3
ADAMTS10,GABRB1,FPR2
ADAMTS15,GCGR,FUT7
ADAMTS17,GGT1,GATA1
ADAMTSL4,GLB1L,GLT1D1
ADAP2,GLS2,GP9
ADARB1,GMEB2,GYPB
ADCY1,GOLGA2,HBD
ADCY3,GPAA1,HBM
ADM,GPANK1,HBQ1
ADM2,GPD2,HRH2
ADORA2B,GSG1,IL18RAP
ADORA3,HAND2,MEFV
ADRA2B,HELZ2,MGAM
