"","x"
"1","TTLL10"
"2","TTLL10-AS1"
"3","PTPN22"
"4","MAB21L3"
"5","MIB2"
"6","MMP23B"
"7","CDK11B"
"8","FAM167B"
"9","CITED4"
"10","RP5-1066H13.4"
"11","NRD1"
"12","RP4-657D16.3"
"13","ESPN"
"14","TNFRSF25"
"15","NOL9"
"16","RP11-58A11.2"
"17","RNU6-731P"
"18","SNORA77.1"
"19","RP5-1115A15.2"
"20","DNMBP"
"21","TLX1"
"22","RP11-31L23.3"
"23","TLX1NB"
"24","DPCD"
"25","POLL"
"26","RNU7-163P"
"27",""
"28","PRLHR"
"29","DHTKD1"
"30","PAOX"
"31","MTG1"
"32","RP11-108K14.8"
"33","RNU2-72P"
"34","SAR1A"
"35","CALM2P2"
"36","RNU6-535P"
"37","PLAU"
"38","BLNK"
"39","AMICA1"
"40","CD3E"
"41","RP11-712L6.5"
"42","DCPS"
"43","ETS1"
"44","CTSD"
"45","AC068580.5"
"46","AC068580.6"
"47","RP11-295K3.1"
"48","AC068580.1"
"49","ATHL1"
"50","NLRP6"
"51","RP11-326C3.2"
"52","CD82"
"53","RP11-58K22.5"
"54","RP11-58K22.4"
"55","NR1H3"
"56","MADD"
"57","RP11-17G12.3"
"58","MYBPC3"
"59","SPI1"
"60","AC090559.2"
"61","AC103828.1"
"62","TNKS1BP1"
"63","TMEM132A"
"64","SLC15A3"
"65","FADS3"
"66","FAM160A2"
"67","OR52W1"
"68","C11orf42"
"69","RP11-290F24.6"
"70","NAA40"
"71","MEN1"
"72","MAP4K2"
"73","CDC42BPG"
"74","RBM4B"
"75","RP11-658F2.8"
"76","ADRBK1"
"77","ANKRD13D"
"78","SSH3"
"79","CARNS1"
"80","PPP1CA"
"81","RAD9A"
"82","TBC1D10C"
"83","RNU6-1238P"
"84","NDUFS8"
"85","TCIRG1"
"86","AP000487.4"
"87","RNF121"
"88","IL18BP"
"89","NUMA1"
"90","LRTOMT"
"91","RELT"
"92","RP11-809N8.2"
"93","RP11-809N8.4"
"94","SERPINH1"
"95","LRRC32"
"96","RP11-672A2.3"
"97","CLEC9A"
"98","RP11-133L14.5"
"99","C12orf75"
"100","RP11-474B16.1"
"101","AC011313.1"
"102","RP11-256L11.3"
"103","P2RX4"
"104","RHOF"
"105","SETD1B"
"106","AC084018.1"
"107","DIABLO"
"108","DNAH10OS"
"109","RP11-380L11.3"
"110","GLT1D1"
"111","GSG1"
"112","PLBD1"
"113","RP11-695J4.2"
"114","snoU13.179"
"115","RAPGEF3"
"116","SLC48A1"
"117","ZNF641"
"118","RP11-370I10.6"
"119","LMBR1L"
"120","BIN2"
"121","TENC1"
"122","RP11-983P16.4"
"123","TARBP2"
"124","NPFF"
"125","RP11-793H13.10"
"126","RP11-793H13.11"
"127","COPZ1"
"128","NFE2"
"129","SUOX"
"130","IKZF4"
"131","NABP2"
"132","SLC39A5"
"133","GLS2"
"134","MIP"
"135","SPRYD4"
"136","MYO1A"
"137","LRP1"
"138","MIR1228"
"139","ARHGAP9"
"140","MARS"
"141","OS9"
"142","AGAP2-AS1"
"143","RP11-571M6.7"
"144","RP11-571M6.8"
"145","NCAPD2"
"146","SCARNA10"
"147","PTMS"
"148","LAG3"
"149","MLF2"
"150","RNU7-103P"
"151","RP5-1154L15.1"
"152","RP5-1154L15.2"
"153","CD4"
"154","C12orf57"
"155","PTPN6"
"156","U47924.31"
"157","TEX30"
"158","LINC00346"
"159","PROZ"
"160","DCUN1D2"
"161","TMCO3"
"162","TFDP1"
"163","SPATA13"
"164","SPATA13-AS1"
"165","SLC25A15"
"166","LECT1"
"167","SNORD51.1"
"168","INF2"
"169","RP11-982M15.5"
"170","AKT1"
"171","ZBTB42"
"172","CEP170B"
"173","CTD-3051D23.4"
"174","PLD4"
"175","PACS2"
"176","TEX22"
"177","AL928654.1"
"178","AE000662.92"
"179","AE000662.93"
"180","RBM23"
"181","PRMT5-AS1"
"182","CEBPE"
"183","BCL2L2"
"184","BCL2L2-PABPN1"
"185","PCK2"
"186","NRL"
"187","MTHFD1"
"188","CTD-2555O16.2"
"189","TMEM63C"
"190","U6.59"
"191","RNU6-181P"
"192","RNU6-322P"
"193","PRKXP1"
"194","RP11-526I2.1"
"195","RP11-526I2.5"
"196","NOP10"
"197","NUTM1"
"198","VPS18"
"199","SNORA63.4"
"200","SEMA4B"
"201","GDPGP1"
"202","CIB1"
"203","SSTR5"
"204","C1QTNF8"
"205","SSTR5-AS1"
"206","Z69666.2"
"207","AC004381.6"
"208","ERI2"
"209","RNU6-196P"
"210","RNU6-1005P"
"211","MLST8"
"212","E4F1"
"213","DNASE1L2"
"214","BRICD5"
"215","PGP"
"216","RP11-304L19.12"
"217","RP11-304L19.8"
"218","RP11-304L19.11"
"219","CCDC101"
"220","RP11-666O2.1"
"221","CORO1A"
"222","SLX1A"
"223","BOLA2B"
"224","SLX1A-SULT1A3"
"225","SULT1A3"
"226","RP11-455F5.5"
"227","SRCAP"
"228","SNORA30"
"229","ZNF668"
"230","AC135050.5"
"231","ZNF205"
"232","ZSCAN10"
"233","RP11-473M20.11"
"234","ZNF205-AS1"
"235","VASN"
"236","ANKS3"
"237","ZNF500"
"238","C16orf71"
"239","RP11-127I20.7"
"240","SIAH1"
"241","CAPN15"
"242","DUS2"
"243","RP11-67A1.2"
"244","PLA2G15"
"245","SLC7A6"
"246","RP11-96D1.7"
"247","WWP2"
"248","CLEC18A"
"249","MIR140"
"250","PHLPP2"
"251","RP11-432I5.4"
"252","RP11-432I5.8"
"253","DHODH"
"254","ATP5A1P3"
"255","KLHDC4"
"256","FLJ00104"
"257","MVD"
"258","SNAI3-AS1"
"259","PIEZO1"
"260","RNF166"
"261","CTU2"
"262","RP5-1142A6.9"
"263","MIR4722"
"264","VPS9D1"
"265","ZNF276"
"266","SERPINF2"
"267","RP11-961A15.1"
"268","SMG6"
"269","SRR"
"270","HNRNPA1P16"
"271","AC108004.3"
"272","ITGAE"
"273","CTD-3195I5.5"
"274","P2RX1"
"275","ATP2A3"
"276","JUP"
"277","ACLY"
"278","TTC25"
"279","TMUB2"
"280","ASB16-AS1"
"281","TBX4"
"282","CD79B"
"283","SLC16A6"
"284","ARSG"
"285","WIPI1"
"286","RP11-589P10.7"
"287","MIR497HG"
"288","CDC42EP4"
"289","CYTH1"
"290","CBX2"
"291","PPP1R27"
"292","AC174470.1"
"293","GCGR"
"294","FAM195B"
"295","ARHGDIA"
"296","P4HB"
"297","RP11-498C9.3"
"298","FASN"
"299","CCDC57"
"300","SLC16A3"
"301","RP13-516M14.2"
"302","TEX19"
"303","FOXK2"
"304","snoU13.58"
"305","RP13-638C3.3"
"306","C17orf59"
"307","SLC14A1"
"308","ATP9B"
"309","RAVER1"
"310","ICAM3"
"311","TYK2"
"312","ATG4D"
"313","MIR1238"
"314","RNU7-140P"
"315","CDKN2D"
"316","LYL1"
"317","TRMT1"
"318","NACC1"
"319","EPHX3"
"320","NR2F6"
"321","FAM129C"
"322","KIAA1683"
"323","LRRC25"
"324","AC008397.1"
"325","SGTA"
"326","THOP1"
"327","TLE6"
"328","PLEKHF1"
"329","S1PR4"
"330","NCLN"
"331","C19orf77"
"332","FZR1"
"333","DOHH"
"334","RN7SL866P"
"335","IGFLR1"
"336","U2AF1L4"
"337","AC002398.9"
"338","PSENEN"
"339","AD000671.6"
"340","AC002398.11"
"341","LIN37"
"342","HSPB6"
"343","C19orf55"
"344","AC002398.12"
"345","SIPA1L3"
"346","WDR87"
"347","SIRT2"
"348","NFKBIB"
"349","SARS2"
"350","CCER2"
"351","ADCK4"
"352","ITPKC"
"353","CEACAM1"
"354","ZNF575"
"355","ETHE1"
"356","CLPTM1"
"357","RELB"
"358","FPR3"
"359","CCDC106"
"360","U2AF2"
"361","ZSCAN18"
"362","ZNF132"
"363","CTD-2619J13.19"
"364","CERS4"
"365","CD320"
"366","MAP4K4"
"367","NCK2"
"368","AC009505.2"
"369","PAX8-AS1"
"370","PAX8"
"371","RP11-65I12.1"
"372","ROCK2"
"373","STEAP3"
"374","AC012363.4"
"375","GPD2"
"376","DLX2"
"377","AC104801.1"
"378","OSR1"
"379","AC098820.4"
"380","STK16"
"381","GLB1L"
"382","AC012507.3"
"383","ATG4B"
"384","THAP4"
"385","DTNB"
"386","AC097724.3"
"387","NLRC4"
"388","AC007401.2"
"389","CALM2"
"390","RP11-761B3.1"
"391","SNORA74.9"
"392","LBX2"
"393","LBX2-AS1"
"394","AC005041.17"
"395","RP11-523H20.3"
"396","TLX2"
"397","LOXL3"
"398","CAPG"
"399","SH2D6"
"400","NSFL1C"
"401","C20orf26"
"402","CRNKL1"
"403","VSX1"
"404","SLA2"
"405","SOGA1"
"406","PPP1R16B"
"407","AP5S1"
"408","TBC1D20"
"409","Y_RNA.467"
"410","SYS1"
"411","SYS1-DBNDD2"
"412","TNNC2"
"413","SNX21"
"414","NPEPL1"
